Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.08265027322404371,0.6237113402061856,0.1459589867310012
bicycle,0.09766454352441614,0.323943661971831,0.1500815660685155
bird,0.01786492374727669,0.5720930232558139,0.034647887323943666
boat,0.023989033584647018,0.34146341463414637,0.044828690361831576
bottle,0.014921465968586388,0.1701492537313433,0.027436823104693142
bus,0.06222222222222222,0.5675675675675675,0.11214953271028039
car,0.06098360655737705,0.7395626242544732,0.11267605633802817
cat,0.06869806094182826,0.5102880658436214,0.12109375000000001
chair,0.025918297288019223,0.5136054421768708,0.049346405228758175
cow,0.01950585175552666,0.45112781954887216,0.0373948270489249
diningtable,0.05176876617773943,0.32967032967032966,0.08948545861297538
dog,0.07276119402985075,0.5357142857142857,0.12812089356110382
horse,0.0651750972762646,0.3489583333333333,0.1098360655737705
motorbike,0.06722689075630252,0.4,0.11510791366906475
person,0.03759943995417807,0.8981453329279416,0.07217729127470862
pottedplant,0.015345268542199489,0.04780876494023904,0.023233301064859633
sheep,0.0,0.0,0.0
sofa,0.0186018601860186,0.3780487804878049,0.035458964826994566
train,0.07795698924731183,0.6083916083916084,0.1382049245432883
tvmonitor,0.09193245778611632,0.620253164556962,0.16013071895424835
Mean,0.05119927593525921,0.4726580428006963,0.08986158194721004
