,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.109875203472599,0.10825345149816121,0.10825345149816121,0.10664375715922107,0.10664375715922107,0.10346054138783387,0.10346054138783387,0.10188701995538674,0.09723880147103153,0.09420027732561645,0.08826792066075842,0.08252848616386327,0.08252848616386327,0.08112377162838366,0.07294869476095737,0.06395972749743775,0.0532706336287454,0.04458913607041659,0.02170374389582203,0.0013564839934888768,0.05922770844637367
bicycle,0.058622428080788984,0.058622428080788984,0.056716135740618207,0.056716135740618207,0.056716135740618207,0.056716135740618207,0.05484135236474777,0.05299807795317767,0.04940605602293852,0.04594006994990075,0.03629832687399565,0.03190282635409774,0.02274947222484797,0.020417808866622554,0.019299240633960362,0.015140057346315027,0.011485017487475187,0.008334121057440842,0.0012761130541639096,6.30179286006869e-05,0.016696600182751993
bird,0.0742336152219873,0.07330279539581866,0.07145877378435518,0.07054557199906036,0.06963824289405685,0.06784120272492365,0.06345137420718816,0.058377378435517976,0.05194092083626967,0.04810899694620625,0.040195560253699796,0.036833450786939156,0.03361815832746066,0.030549682875264272,0.024853182992717875,0.021215057552266853,0.016079398637538173,0.008248179469109702,0.0038054968287526427,0.0004962414846135777,0.02158944092083627
boat,0.04494718241735564,0.039664134346261495,0.038394964594807235,0.038394964594807235,0.03411538610362307,0.030648385806967538,0.0268382969392888,0.024774606286517648,0.021833847106318766,0.01820175155744154,0.014510324902297145,0.010566096142188286,0.008381163663566832,0.007246133804542699,0.005223716964826972,0.0029820329932543116,0.002169454798725671,0.0012485328449265455,0.00016509525222169197,2.579613315963937e-06,0.005249513097986611
bottle,0.03976356683579971,0.03363452432655742,0.03205194750166838,0.03205194750166838,0.030507505058101965,0.03000116521720708,0.028507568615404173,0.026102984015338494,0.02425558509793121,0.02161160132622904,0.02076417063017065,0.018323570225522494,0.01640625827569039,0.013899981992097708,0.010086543859834962,0.006177769774265649,0.0025952565066788133,0.0008474306960583879,0.00013558891136934207,2.11857674014597e-06,0.008923868944842855
bus,0.027233340210439445,0.027233340210439445,0.027233340210439445,0.027233340210439445,0.026009527917924866,0.025209282842870627,0.024032359910222505,0.02250689273590037,0.020670392807797384,0.01756162824865115,0.012943026301804928,0.011559790185744382,0.0105094685247357,0.009509162180917905,0.009027764752955593,0.007016211214684497,0.006203462310332539,0.0052578602196922805,0.002627367131183925,0.0002250689273590037,0.007487918174941077
car,0.031687747775245016,0.0315555779598201,0.0315555779598201,0.031292066979850666,0.03116072581530615,0.030249071738378347,0.02973420332468544,0.029223754382354705,0.028717724911386147,0.028341103086241153,0.027103651104833315,0.025655169365881816,0.022877531614757442,0.019009389305017412,0.015406829602447835,0.011775681444504214,0.007497771274402904,0.004574705293767095,0.0019557541862406666,0.00021006299818318296,0.01360665461900359
cat,0.10140898809037147,0.10140898809037147,0.10140898809037147,0.10140898809037147,0.10140898809037147,0.08546589267707738,0.08244079252173438,0.06813288638159867,0.06020221840678058,0.027907230261902817,0.003924454255580083,0.0004360504728422315,0.0002452783909737552,0.0002452783909737552,2.725315455263947e-05,0.0,0.0,0.0,0.0,0.0,0.0004878314664922464
chair,0.01817874062328977,0.017892465715881812,0.017396951683441297,0.016563687220807415,0.016154723067367472,0.0154844762603409,0.014569986972787696,0.013683329967899154,0.013067043708895908,0.011935221214106652,0.010910254804547794,0.009878259323601691,0.008647958828669864,0.006305148035083444,0.004508829791675364,0.003042309897699321,0.0017500967739828368,0.0007532466499729771,0.00013128033328306483,8.591087251082122e-06,0.004593597552576744
cow,0.02622108625654144,0.02575076241410205,0.024822883702321184,0.024365328832979705,0.02301820217115106,0.02085811755542266,0.020023877979693076,0.018804441048843448,0.01723811368216749,0.01294773872127247,0.007661383858741107,0.005109717401343721,0.004503191179193383,0.003934971876336751,0.0029134540285046043,0.0019153459646852767,0.001225821417398577,0.0008512648731934562,0.00017238113682167488,2.1281621829836404e-06,0.002828965989840153
diningtable,0.04716570558154717,0.04716570558154717,0.04624542124542125,0.04443205309541943,0.042654952308417655,0.04091411888441592,0.03920955282341421,0.03431345881840931,0.02901389040002901,0.021583614405396582,0.01525042614151525,0.012258368694012258,0.007253472600007253,0.005240633953505241,0.003554201574003554,0.002194175461502194,0.0011605556160011606,0.0001632031335001632,4.08007833750408e-05,0.0,0.004711583795742212
dog,0.0528907861082806,0.0528907861082806,0.0528907861082806,0.05226486515688075,0.05164266992542971,0.05164266992542971,0.05102420041392749,0.050716362803157174,0.049191146199113654,0.04888889716826655,0.046210570240066765,0.0433231372797401,0.04025454118690261,0.03599231756546556,0.031482333567432734,0.027500004657149933,0.01976308146845526,0.012373581664986989,0.006266660953896078,0.0005383665326028439,0.026370459511669886
horse,0.057239630638813196,0.057239630638813196,0.057239630638813196,0.057239630638813196,0.05620364062973055,0.055177111716621256,0.05018638359067514,0.04543218286406297,0.03831743869209809,0.02878065395095368,0.02123542991220103,0.0170299727520436,0.015913563427187406,0.013794277929155314,0.011826369966696943,0.007952051165607025,0.004546056615198304,0.0031978504389948525,0.0013671283681501666,0.00017029972752043596,0.00970330003027551
motorbike,0.08680045871559633,0.08285550458715597,0.08285550458715597,0.08285550458715597,0.08091743119266055,0.07900229357798166,0.0752408256880734,0.0715711009174312,0.06450688073394496,0.044082568807339455,0.03100917431192661,0.025332568807339452,0.024266055045871558,0.02120412844036697,0.014862385321100919,0.008360091743119268,0.007167431192660551,0.004139908256880734,0.0025802752293577983,0.0004128440366972477,0.01393348623853211
person,0.04865753596272124,0.04835285583530122,0.04820087461282167,0.0481098007085277,0.04786735800412086,0.047595341997773336,0.0471136718063847,0.04642556264737998,0.04571293267095963,0.04494713677783244,0.043262133188726376,0.04144017664787297,0.03840026512529782,0.03365023591203324,0.025819004511940444,0.017711331396990965,0.010750888049511938,0.005570368973423611,0.0017744985919859568,0.00014485702791722097,0.02185237594257005
pottedplant,0.05532782166133155,0.05181585795546139,0.04513736959675747,0.041351357575478434,0.03656126937337356,0.03045620984271008,0.026861340764111185,0.023492158533496073,0.0186537088639661,0.015484881284112104,0.011609055109043595,0.008290537272873821,0.006227114662736338,0.004458466711189923,0.002821085599797342,0.0019367616240241344,0.0010155908159270432,0.00023029270202427283,3.6846832323883656e-05,0.0,0.003662575132994035
sheep,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0025284450063211123,0.0006321112515802781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sofa,0.022809959349593494,0.02146849593495935,0.020813008130081304,0.020813008130081304,0.02016768292682927,0.02016768292682927,0.01953252032520325,0.01709349593495935,0.014817073170731707,0.01220020325203252,0.00983739837398374,0.009395325203252033,0.008963414634146342,0.008130081300813007,0.006224593495934959,0.005203252032520326,0.004883130081300813,0.0031758130081300812,0.0018343495934959352,0.0002489837398373984,0.005789634146341463
train,0.04374701281917777,0.04374701281917777,0.04374701281917777,0.04374701281917777,0.041720402545144815,0.041720402545144815,0.039093018474461776,0.03844952298560546,0.03349380668968298,0.028879863931410323,0.022599775177094765,0.019291514136874962,0.01751856391031649,0.015422530886448411,0.0134600031507248,0.011281196848207158,0.007786028404585105,0.003855632721612103,0.0010680423051557073,9.612380746401366e-05,0.01123794113484835
tvmonitor,0.09004643115654185,0.07966562505517011,0.07966562505517011,0.07966562505517011,0.07966562505517011,0.07966562505517011,0.07966562505517011,0.07966562505517011,0.07471355683844429,0.0699203785110252,0.060810691524107126,0.05509065550906555,0.0523365640944159,0.04704023445085889,0.04202637572162492,0.03503522059212965,0.028679625019861234,0.012746500008827216,0.006435040516921773,7.944494465335522e-05,0.03402803523824656
mAP,0.0519692842992171,0.05025241937801953,0.04943083462830021,0.048911154555142486,0.04776513354924702,0.04574020867150187,0.04391779690856641,0.041308964336426376,0.03777597916584043,0.032107796398875864,0.026220186381254708,0.023212283636254976,0.021080026094032048,0.018858711805253836,0.01581859317258451,0.012519913960318176,0.009401465004939076,0.0060078814041478945,0.002668823195226064,0.00020286062942140095,0.01359907452834327
