,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,22.87153781071198,21.560590008740682,21.026053353428242,20.97745191646533,19.10966703096374,17.646316410552995,15.396131077472765,12.366668075421986,9.644763472159129,5.919156949669477
2,bicycle,30.18092585994354,32.67666702382216,29.169124001029594,27.532688945422656,29.081412672335595,26.676330603980983,25.86468998165252,27.221615308896197,13.272474762346729,
3,bird,25.81329474171425,21.84140592914252,19.144551757208692,16.97342252436519,15.84356151873831,12.784210958105437,11.402040938062378,9.013922333300318,7.287081610782013,3.797725430982048
4,boat,29.83016902127426,25.098683727608723,20.59656261010074,13.574740246106352,11.929960519533745,11.705689770035066,10.251200657454893,9.134960109610128,9.4492466167236,5.77013673680959
5,bottle,14.862639237123483,14.377034249466185,13.051113609096241,10.790576652432488,9.00332244749631,8.148415666774515,7.235495168321996,5.946618099920574,4.5230938346062555,3.6827136942930885
6,bus,29.970584276417263,24.006798224027477,22.490133121402472,20.146289591817066,18.542367537463605,15.637344899914881,14.719026293004761,13.090174626616758,11.491918958844353,7.399261525410514
7,car,19.268011227130692,17.235524359860932,16.06718498093164,13.806139743575486,12.426911435473611,11.329354662954872,10.216349055567227,8.452443371374438,7.614334490725545,5.478063779646461
8,cat,45.856119361211036,42.89706399403582,35.735741183868456,31.170489084013468,29.341677322184047,29.341677322184047,24.470713347626436,22.011746128570838,4.762268310637057,
9,chair,29.876839842119015,26.470534018108108,22.930932986461755,20.359311370440032,16.833698096881093,13.432628860923217,10.434390932366396,7.343403305639712,5.3706001606595715,2.9865935322498895
10,cow,11.85774370949989,10.450055746039615,10.452135605416883,9.709600561584374,7.17117467315947,5.633879575855821,5.068122552814797,4.451315972340943,4.180607091846404,2.473314356779731
11,diningtable,57.37679878710368,49.68929720251266,41.81776415880882,36.013687491140516,28.028934622422266,28.447999819519676,24.875365785607457,16.48915503950557,22.916906381034256,
12,dog,33.0836834284887,31.075191067224022,27.976339486967778,25.752975882538266,22.839205915747957,19.864114897930243,16.30744991540772,13.20753428592292,9.617773497268336,6.126492122726008
13,horse,29.81922906796669,25.43044972737462,24.68353740877703,23.332773449985485,19.988650311913077,18.6753852875801,15.239416628651949,13.098386757882036,10.017167073615045,6.167722611925996
14,motorbike,34.931085455787716,32.68563526402098,30.513759873737722,26.990978651224413,24.23848832065956,21.60918638896069,16.973919286538624,14.481759261302528,11.35464735965999,7.965199974448009
15,person,28.111044735498783,25.421155027352622,23.22261699613123,20.752976094817814,17.885834915848175,14.835482588125606,12.322195826708937,10.237746053532621,8.305476093015317,5.341030032996146
16,pottedplant,17.126303568255956,17.307744556450658,13.776961020347132,10.367994440671076,9.123195251715632,7.140070347013833,7.952273133561928,4.923890291375951,2.638962895553659,1.8982721198322638
17,sheep,23.217099852573494,24.568994389320427,24.568994389320427,,,,,,,
18,sofa,42.45577431577846,39.542912306859144,35.94475839655135,30.554128998191878,24.748436744232837,19.59452457450427,14.847255429677634,13.308586887781036,11.544991938311513,7.214079834123675
19,train,36.15055116082362,34.621526706849295,34.998636485381816,31.03802485700742,27.419751428816497,25.044693127616174,22.641931909711168,15.866890995360778,10.56805567233556,6.848182997898168
20,tvmonitor,20.431096461792773,18.74958146596587,16.98690288134184,14.775916035994499,11.916829570041891,11.497570888806374,11.37796068215415,10.374085974654,6.798987077954871,7.27373793298792
