Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.0,0.0,0.0
bicycle,0.0,0.0,0.0
bird,1.8706099123619255e-05,0.009302325581395349,3.733711682783855e-05
boat,0.0,0.0,0.0
bottle,1.5991300732401573e-05,0.0029850746268656717,3.18121808840605e-05
bus,0.0,0.0,0.0
car,0.0,0.0,0.0
cat,0.0,0.0,0.0
chair,0.0,0.0,0.0
cow,0.0003234152652005175,0.022556390977443608,0.000637687320650441
diningtable,1.803491559659501e-05,0.005494505494505495,3.5951824555096173e-05
dog,1.2433944668946223e-05,0.0027472527472527475,2.475584547401255e-05
horse,4.6274872744099955e-05,0.010416666666666666,9.214042200313278e-05
motorbike,0.0,0.0,0.0
person,0.0,0.0,0.0
pottedplant,0.0,0.0,0.0
sheep,0.0,0.0,0.0
sofa,3.670667694453621e-05,0.006097560975609756,7.297405772247967e-05
train,0.0,0.0,0.0
tvmonitor,0.0,0.0,0.0
Mean,6.736615357295938e-05,0.008514253867105612,0.0001332369668738659
