,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.33755408881533033,0.33755408881533033,0.3302558376039402,0.3302558376039402,0.3302558376039402,0.3266366228638657,0.31589862210612374,0.31589862210612374,0.31235916967437033,0.3018604558415921,0.2984007657181599,0.2984007657181599,0.294961016171808,0.29154120720253646,0.2847614109952342,0.2747412710123831,0.2649005962232547,0.26166025244770585,0.24889828311631337,0.20962531655666114,0.27278908851622174
bicycle,0.3345508737069721,0.3345508737069721,0.3345508737069721,0.3345508737069721,0.32832680731693065,0.3221611828648238,0.3160540003506517,0.3160540003506517,0.3100052597744141,0.2863947168488107,0.2863947168488107,0.2806381859622465,0.26371924493016186,0.24732628133948922,0.23668984863538076,0.221173514113728,0.21112150078896616,0.20618315703348722,0.19171877739465842,0.11597802583133658,0.22609432528782655
bird,0.08714937504406418,0.08714937504406418,0.08631341464642904,0.08631341464642904,0.08631341464642904,0.08465358002558242,0.08465358002558242,0.08465358002558242,0.08465358002558242,0.08382970580237091,0.08219404353037155,0.08138225548158369,0.07977076555843163,0.07897106368406741,0.07817539053451106,0.07581254343468932,0.07348595485813852,0.07044023890338111,0.0638230584064379,0.050286543051960474,0.07343418574435726
boat,0.1237410306057697,0.12247514603231421,0.11871654273580762,0.11747669177825869,0.11379618932947168,0.11258237198782928,0.11137506305016354,0.1101742625164744,0.10897997038676191,0.10310613579784897,0.09965993589222082,0.09294326298833369,0.09075643925218438,0.0875250166777852,0.08435216973917571,0.0791942595876926,0.07224653834263492,0.06841959680437364,0.059307831237084885,0.039375844058640724,0.07737808945801265
bottle,0.26786964647661166,0.26786964647661166,0.26786964647661166,0.2661928452973229,0.2661928452973229,0.26452130879991576,0.26452130879991576,0.2611940298507463,0.2578878096291032,0.24648187633262258,0.24487351601779464,0.24008002316460025,0.23376240490668349,0.2168232909526442,0.19332175103319382,0.16849351127958093,0.15416041485693227,0.12973229092632077,0.09703861644160151,0.04797441364605543,0.1726260233225407
bus,0.10868315123634271,0.10868315123634271,0.10868315123634271,0.10696486760316548,0.10696486760316548,0.10526027547304143,0.10526027547304143,0.10526027547304143,0.10022864810098853,0.09532024425641446,0.09211643254196444,0.08896738683972727,0.08741340124318848,0.08741340124318848,0.08434650455927052,0.08133437388756538,0.07984884580629262,0.07404364851173363,0.0684575152660259,0.051815493304855006,0.07957570032038117
car,0.1936252634627705,0.1936252634627705,0.19284530347605577,0.19284530347605577,0.19129010576288902,0.1897412043967391,0.1889691148437955,0.18666229070548995,0.18513227838039067,0.18284906554339836,0.17982681897530103,0.1753406717257815,0.17311884827220367,0.16726324554651506,0.1579627539592217,0.14082488442268007,0.1246708191075243,0.10891421069780839,0.09422168493394345,0.0519834280146516,0.1374127365655631
cat,0.3188250319284802,0.3188250319284802,0.3188250319284802,0.31614020150418615,0.31614020150418615,0.31614020150418615,0.31346672342840926,0.31346672342840926,0.31346672342840926,0.31346672342840926,0.3108045977011494,0.3081538243224067,0.3081538243224067,0.3081538243224067,0.30026961827728116,0.2976642542926068,0.2873563218390805,0.2772300269618277,0.25994607634454375,0.22478217681282817,0.2882514545196538
chair,0.19755131226605765,0.19755131226605765,0.19685875780415849,0.19341422661306207,0.1927289685985227,0.1906804910022643,0.187966212584426,0.1872906831663663,0.18326304422376746,0.18193022650604754,0.1773036708426667,0.1707976719468624,0.16504624731551543,0.15691253262120006,0.14598975092360864,0.12978190918841617,0.12094834358484188,0.10321068005321543,0.08596187849469428,0.04869709771645519,0.13046497826874764
cow,0.07047569005708948,0.07047569005708948,0.07047569005708948,0.07047569005708948,0.07047569005708948,0.06939561883077078,0.06726049733318322,0.06726049733318322,0.06726049733318322,0.06515873710899545,0.06206864916033844,0.0600502921196502,0.05806529635236177,0.056113661858473135,0.05231047669089529,0.049545661157886396,0.04774415239429689,0.042539793743927204,0.036847526470085365,0.026689018719844537,0.049197452866775924
diningtable,0.16311007428325866,0.16311007428325866,0.16311007428325866,0.16311007428325866,0.16311007428325866,0.16111486279084045,0.15716127447971023,0.15520289766099823,0.1513229786972804,0.1326600773528148,0.11861378844619068,0.11522499846522193,0.11354902081159066,0.10375099760574621,0.08988274295536865,0.07564000245564492,0.05896003437902879,0.04540487445515378,0.029228313585855484,0.015967831051629935,0.0766222604211431
dog,0.30592709346060554,0.30592709346060554,0.30592709346060554,0.30419625057694766,0.3024703178858675,0.3007492953873651,0.3007492953873651,0.3007492953873651,0.2990331830814405,0.2922178357835194,0.28715788233214506,0.28548105156684245,0.28048002042640113,0.27552318101915957,0.2689828045055927,0.259319545512575,0.25140185998094844,0.24515609502204677,0.23745936815641908,0.21802237083738424,0.2608984179359514
horse,0.21312197269925143,0.21312197269925143,0.21312197269925143,0.21312197269925143,0.21312197269925143,0.21312197269925143,0.21070701232937034,0.20830581241743723,0.20354469396741526,0.19883861734918537,0.19650621972699253,0.19418758256274768,0.1918827058564509,0.18959158960810218,0.17613386173491855,0.1631715103478644,0.15070453544693968,0.13102708058124174,0.11988110964332893,0.09258036107441656,0.1605666556583003
motorbike,0.22769516728624536,0.22769516728624536,0.22769516728624536,0.22769516728624536,0.22769516728624536,0.22769516728624536,0.22445399628252788,0.2180413568773234,0.2180413568773234,0.2148698884758364,0.20859665427509294,0.20549488847583644,0.1993610594795539,0.19332016728624535,0.18737221189591077,0.17575511152416357,0.16450975836431225,0.1617565055762082,0.1431342936802974,0.1161710037174721,0.1755471654275093
person,0.11743472152640347,0.11736275295354058,0.11721888198581289,0.11700324097921642,0.1168595906048155,0.11607109078789694,0.1155707079150893,0.11478657584604103,0.11365078492510206,0.11230936793460256,0.11069620202483937,0.10847120949357794,0.10538053154035666,0.09939939716696843,0.09365726463348296,0.08616402918299709,0.07845279237731817,0.07076732087220748,0.06018774212737161,0.04019520347605671,0.08533716928951766
