,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,3.6908270907967715,3.5278771048092827,3.3741775477272653,3.2389683903572175,3.022777231324562,2.9045203066245455,2.799648966323676,2.7388007384504123,2.5293931259031655,2.4547998184660127
2,bicycle,9.53929396507234,9.53929396507234,8.130490897922666,7.663030192181513,6.259946538930136,4.702016579917375,3.0622693717730547,2.9704932532712007,2.785237334938623,2.255382107794796
3,bird,6.396335057226928,5.838008201043097,4.935638064668053,4.055344507400837,3.7725806410830183,3.457699009010543,2.874430621809047,2.208811726506942,1.9631388267827683,1.7671995918565313
4,boat,7.077229860320714,4.828246420397329,4.223328170771788,3.9634965720922177,3.456822912135928,2.9753360002780065,2.4100776622297397,2.238804067229677,2.2272948630459593,1.9879001142367847
5,bottle,5.733267728295989,5.723066374468001,5.5556699282818744,5.082252685483731,3.9474695678814133,2.5248176623159777,2.242028019991346,1.8743486753591723,1.3749986682117659,1.1456392899041123
6,bus,6.631135534067558,6.377592664824861,5.066672866698428,5.066672866698428,4.719101662045021,4.464862020142702,4.072130740368122,3.326836664630541,2.8217707169960824,2.5381163816861285
7,car,7.677026237768313,6.821843237787468,6.108456887834757,5.3837146322530804,4.84254049384765,3.730426562905969,2.9132991188387716,2.4206488484757447,1.816021710443145,1.5958283890568399
8,cat,8.317118027758626,7.067211046130191,6.137318219567617,5.900720558616433,4.754136069818471,4.50034541143795,4.002081819433839,3.5318689794327973,2.9597738826350213,2.5247015649009996
9,chair,10.276819772205553,9.172386729905115,8.33618439083982,6.6233823716319495,5.6758565322407915,4.602314243341123,3.895791132338385,3.2277348903703356,2.40799409631514,1.81436320834143
10,cow,7.313935407392302,7.2317231586237,6.792627597847255,6.060354318681469,5.287098967178871,4.457897739870422,3.8338125237336804,3.1219183781309265,2.5477401021129795,1.7195294078463312
11,diningtable,30.825396504785978,28.631702030763904,26.171822251447757,23.76617191900907,20.320387896121098,15.534256328248203,11.457936456281898,9.29948891989486,6.0333588236541535,3.314110036844058
12,dog,7.06610567483934,6.084534893046384,5.481868816458196,4.992725645538856,4.326018451355191,3.5889011431556344,3.214923736524143,2.9301650297779824,2.651520082182217,2.3973263808977583
13,horse,10.802777888476617,9.90566959883881,8.948368257201189,8.268458646265376,7.184796525915476,6.049387765196669,4.8054073784108216,3.762590116070908,2.819888750453952,2.1982731600633825
14,motorbike,12.188432347576574,10.864774318565395,9.934956557928846,9.467698164441495,7.900835873626249,5.509408824342988,3.749774354089746,3.6576015684117773,2.952401236520613,2.566355264248908
15,person,9.562943760521032,8.894651100394748,7.89526469568762,6.493567979541734,5.64305937406407,4.487189498228073,3.6170577513873936,2.8654788174692523,2.3686612463747974,1.85067977358183
16,pottedplant,6.066479246903014,5.492584851314434,4.458354790503343,3.932614477705737,3.6483251894153366,2.9092521844474346,2.4618086206066456,2.0425939943482847,1.7458219705598377,1.5396995398888902
17,sheep,7.2476034955530375,6.847481568168189,5.754268796874879,5.564718614601134,3.7816222921145246,3.013435710806559,2.6423528361113418,1.9593356259906851,1.6157174439994235,1.3965292469937416
18,sofa,15.614815895877477,13.004937237449285,13.004937237449285,10.9015262581264,9.387908479165526,7.9449599349508215,6.291128742688959,4.552905995986851,3.8151200646532777,2.7556410265722566
19,train,5.8904416688357895,4.919306660063388,4.919306660063388,4.020468041930744,3.739100913583297,3.739100913583297,2.9355913379893477,2.9378093765537034,2.753685675439294,2.5291319604548352
20,tvmonitor,2.4846375062647925,2.4846375062647925,2.4846375062647925,2.3834251765115537,2.3834251765115537,2.315534606783019,2.148543070674814,2.0110962762849507,1.7734914596623974,1.505105267126325
