Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.3346228239845261,0.8917525773195877,0.4866385372714487
bicycle,0.4107883817427386,0.6971830985915493,0.5169712793733681
bird,0.08748375920311824,0.9395348837209302,0.1600633914421553
boat,0.11674449633088725,0.8536585365853658,0.20539906103286382
bottle,0.2689594356261023,0.9104477611940298,0.4152484683458135
bus,0.11752786220871327,0.7837837837837838,0.20440528634361232
car,0.1892319873317498,0.9502982107355865,0.31561571475734573
cat,0.32275862068965516,0.9629629629629629,0.48347107438016523
chair,0.19306399713979264,0.9183673469387755,0.3190546528803545
cow,0.06766500277315585,0.9172932330827067,0.12603305785123964
diningtable,0.1553072625698324,0.7637362637362637,0.25812441968430827
dog,0.30563002680965146,0.9395604395604396,0.4612272420768712
horse,0.22324966974900926,0.8802083333333334,0.3561643835616438
motorbike,0.24907063197026022,0.8375,0.3839541547277937
person,0.1149241819632881,0.9632107023411371,0.2053475935828877
pottedplant,0.27809965237543455,0.9561752988047809,0.4308797127468581
sheep,0.27967257844474763,0.9070796460176991,0.4275286757038582
sofa,0.27032136105860116,0.8719512195121951,0.41269841269841273
train,0.44,1.0,0.6111111111111112
tvmonitor,0.6891891891891891,0.9683544303797469,0.8052631578947368
Mean,0.2557155460580227,0.8956529364300436,0.3792599693733424
