,epoch,train_loss,val_loss,classification_train,bbox_regression_train,classification_val,bbox_regression_val
0,1,0.2922104675547604,0.19570744968890116,0.23062345364481168,0.06158701410403347,0.00039783233660273254,0.00039783233660273254
1,2,0.1814049927041002,0.18598930736743569,0.1343466346635117,0.04705835823325142,0.0001049053025781177,0.0001049053025781177
2,3,0.1609614701930501,0.1454130207094598,0.11752745611553138,0.043434013946351546,3.953236955567263e-05,3.953236955567263e-05
3,4,0.13714709158748867,0.1338860220813937,0.09859962328262707,0.03854746823838933,7.0150475949049e-05,7.0150475949049e-05
4,5,0.1172993835286288,0.15201531916159183,0.08059943156244227,0.03669995207247104,2.0486870198510587e-05,2.0486870198510587e-05
5,6,0.09813015470893591,0.10086225165773992,0.061783732117042287,0.03634642246676936,1.1026638276234735e-05,1.1026638276234735e-05
6,7,0.07761012048651662,0.08313210124022892,0.044877318122934835,0.03273280236642552,1.040783081407426e-05,1.040783081407426e-05
7,8,0.10316854277103032,0.08945376254077549,0.06994772095915587,0.03322082171714261,1.0274748092342634e-05,1.0274748092342634e-05
8,9,0.07172935124389238,0.08162910177248743,0.03879543199625442,0.03293391950215206,7.292517693713307e-06,7.292517693713307e-06
9,10,0.06990090589983125,0.08559499458278215,0.03959282523052539,0.030308080836064146,2.104507757394458e-06,2.104507757394458e-06
10,11,0.054451005222300126,0.062396432994811825,0.02552153382306406,0.028929471390193882,1.7942858903552406e-05,1.7942858903552406e-05
11,12,0.05376239031799762,0.0646072279303856,0.024750091739100866,0.029012298486586516,1.3916338502895087e-05,1.3916338502895087e-05
12,13,0.04877772202508746,0.0709059968149622,0.021245446065945927,0.02753227604304277,2.205489863627008e-06,2.205489863627008e-06
13,14,0.053269856288784986,0.07199550345687555,0.025299242698290023,0.027970613577964765,3.641975581558654e-06,3.641975581558654e-06
14,15,0.047675624163883476,0.07034958542046965,0.020986329070452305,0.026689295209091128,8.896651593204297e-07,8.896651593204297e-07
15,16,0.07333465348687353,0.08690725798821101,0.045022534470513687,0.028312118764156263,6.014154860167764e-05,6.014154860167764e-05
16,17,0.05461712922640536,0.06958446882146063,0.025683256189289096,0.028933873035738827,1.1819683095382061e-05,1.1819683095382061e-05
17,18,0.04076806514376238,0.05514793612576815,0.016130305324217442,0.024637759784734203,3.560381401257473e-06,3.560381401257473e-06
18,19,0.031797499384722226,0.0570330285590804,0.00801020338130078,0.023787296008148037,2.3981317553989356e-06,2.3981317553989356e-06
19,20,0.05616475045973097,0.06087672655574986,0.032397145076404614,0.023767605454852903,1.8999265876118443e-06,1.8999265876118443e-06
20,21,0.038259698173972206,0.05600447972275783,0.014386812196951078,0.023872885978709592,8.706342100595066e-07,8.706342100595066e-07
21,22,0.030540768736606865,0.058174761272164,0.007499355703747519,0.02304141305045772,8.291050335174077e-07,8.291050335174077e-07
22,23,0.0350387564862992,0.0645606115507249,0.01186893091369378,0.02316982567111272,1.74770991634432e-06,1.74770991634432e-06
23,24,0.03142161358875806,0.056366455685816184,0.008245731603976122,0.023175882014538383,1.036641492646595e-06,1.036641492646595e-06
24,25,0.039743203975599016,0.05039456604404317,0.01646264167998527,0.023280562256384668,5.146104626874148e-07,5.146104626874148e-07
25,26,0.03548343553891664,0.057452430165125655,0.013474123329902476,0.022009312232088952,1.1034353519789875e-06,1.1034353519789875e-06
26,27,0.04145448684828144,0.05617312151769719,0.0183424384270551,0.023112048497707902,2.9018044642725727e-06,2.9018044642725727e-06
27,28,0.035510164427978455,0.05339038869084097,0.0131739179482633,0.022336246441153965,7.023982675491425e-07,7.023982675491425e-07
28,29,0.027901661405706178,0.05123465490464459,0.006769118264208916,0.021132543118571052,1.1410019169488805e-06,1.1410019169488805e-06
29,30,0.03449699457139142,0.05203284970976677,0.01224515070326363,0.022251843878970914,9.497245514467068e-07,9.497245514467068e-07
30,31,0.034457280536503536,0.051677838966397736,0.013093477155352142,0.02136380339524787,4.154067880790535e-07,4.154067880790535e-07
31,32,0.03049591956732052,0.05291191008527788,0.010226341792569382,0.02026957779738853,1.598714192141415e-07,1.598714192141415e-07
32,33,0.025303757645769847,0.06216528443764938,0.004161107478454551,0.02114265013827395,1.172009319816425e-06,1.172009319816425e-06
