,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.010122001405814858,0.010053725031284674,0.009991856101056374,0.009880973229436102,0.009801275926767168,0.009703629950959936,0.009485713830044705,0.009282176506802901,0.008992726344846082,0.00849579662488029,0.007968795549567729,0.007194196543109424,0.006092061701441105,0.004820629406528626,0.003324458222561851,0.002063156964974257,0.0010626800319035923,0.00037295603195107094,6.111370918183962e-05,1.5276279068715863e-06,0.0032961575789126375
chair,0.005537439129357141,0.005337908264861297,0.005239515751405777,0.005045476562079544,0.00481746220903732,0.004649911199612508,0.004413128471882806,0.004147605977432143,0.003890320995735898,0.0035762520927858786,0.0028272791275705156,0.00230696121083383,0.0017705343802662877,0.0012855096292862982,0.0007395638950914309,0.00036911379373341283,0.00013855496452927008,2.928893423792207e-05,1.8305583898701295e-06,1.830558389870129e-08,0.0009468654799522737
car,0.0066988369363897215,0.006454523149970901,0.0064008475147480535,0.0063740937404068105,0.006294168590463812,0.006135831069441088,0.005902106735065189,0.00569816173275708,0.0053743990415929584,0.004965304416770801,0.004527242878159277,0.003981661982561694,0.0030878618041770512,0.002339792656287846,0.0016136307874927253,0.0011205769357588373,0.0006219482137695486,0.00018380263188784326,4.0452827380894013e-05,1.1205769357588369e-07,0.0017517082775169294
dog,0.11931818181818182,0.11931818181818182,0.11931818181818182,0.11844565690719536,0.11757633392248777,0.11757633392248777,0.11584729373190912,0.11158072696534235,0.10822510822510822,0.10086227874689412,0.09846563692717539,0.09375880529726684,0.08841318937472784,0.06859966956120801,0.06150259996413843,0.04411614026998642,0.02961141422679884,0.011296395911780529,0.002435064935064935,0.00019371653987038603,0.049839263300801774
bottle,0.005661348430262481,0.004915664623590512,0.004725705329153605,0.004402283254573527,0.00400329855425069,0.0035822065222476953,0.003223225564965143,0.002562111074720442,0.0023585832592523275,0.0020690824872502686,0.0017696392644925842,0.0013643381836897018,0.0009058157488419969,0.0005095213587236233,0.0003162869040378047,0.00018715201422355308,4.678800355588827e-05,5.731530435596313e-06,1.8715201422355309e-06,0.0,0.0005107144528142984
cat,0.12489596337910945,0.12152055301243815,0.11819138114394044,0.10848129652748878,0.10070744902205576,0.09030956674527212,0.08602672585194433,0.07911985018726592,0.068669949600037,0.06494197068479216,0.05895986498358534,0.05550931705738198,0.04892033106764693,0.040782355389096955,0.034268506958893975,0.027517686225551393,0.01748393212188468,0.008346048920331068,0.003329171868497711,9.247699634715865e-05,0.029520969158921724
bird,0.012706347731934194,0.011891183882874615,0.011625467490087239,0.011625467490087239,0.010974312205502355,0.010466898980857536,0.010094220480804056,0.009488101872962795,0.008444376889429329,0.007567662915486799,0.006941653108750438,0.0066387814576495735,0.005314703161387055,0.004296874266981173,0.0029727959707186538,0.001585666327015063,0.0010542335414403105,0.0002735978112175103,4.5411982383153276e-05,3.753056395301924e-07,0.0029124092933182463
pottedplant,0.005098482585102019,0.004819167566936708,0.004414947593465077,0.0039035257292187333,0.0036997219307530423,0.003423575979695241,0.0030112694211906553,0.0026935977632068686,0.00245875896272281,0.0021725594194618746,0.0016532695265348174,0.0013222659310642667,0.0008082213905910178,0.000476015735183136,0.00023123262067206515,4.819167566936707e-05,8.851532265802118e-06,9.83503585089124e-07,4.371127044840551e-07,0.0,0.00045494690282700463
sheep,0.006753628576986269,0.006275046171448423,0.006075322805357826,0.005814049471100944,0.005749628367393375,0.0054955328719897036,0.005064683094825712,0.004651419022852085,0.004479689228289011,0.004311189461209882,0.004037534354931212,0.0033680214358979515,0.002940042794275243,0.002210953812760331,0.0014213915389071166,0.0008055329653016093,0.00039639615066857975,0.00015091406188876217,6.460054967889938e-06,1.7944597133027607e-07,0.0015337426615570026
boat,0.006065714897425171,0.005549727807852141,0.005424314279136474,0.0053003340478918436,0.004996654146216049,0.004760160063495078,0.004472604758368442,0.004304371467705569,0.003871515631452638,0.003461592554736287,0.003027840907563959,0.0025371156859179417,0.001975263077271754,0.001419143658509711,0.0008778947010096687,0.0005618526086461879,0.0002725056816807563,6.467754838050823e-05,1.6124596549157178e-06,0.0,0.0010737906328635405
mAP,0.03028579448905631,0.02961356813294392,0.029140753982653266,0.027927315695947884,0.026862030487492732,0.025610364730605868,0.02475409719410002,0.023352812257104817,0.021676542817846624,0.020242368940426837,0.01901787566283313,0.017798146478537318,0.016022802450062625,0.01267404654745657,0.010726836156352372,0.007837506978086013,0.005069730446849727,0.00207243968856959,0.0005923427028367928,2.884062790127513e-05,0.009184056773948544
