,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,26.545657800596064,25.11388601339995,23.708527029337393,22.105318373580324,19.944151946882084,17.829984635120734,15.968062359054448,14.357016111159801,10.45626854847014,5.728094578339055
2,chair,31.16971034648075,27.17190578701125,24.77425206522845,21.653594764781115,18.3456672827973,15.771385067905713,13.501220153897583,10.264779879290108,7.122593059060445,5.2398602064691016
3,car,21.15797560263937,19.18658403596526,17.84009718882732,16.27292884804648,14.961054919366518,15.129135409375618,14.69746358133992,13.677848912232507,10.98855613480691,10.584344739722368
4,dog,34.287877162573245,31.87370002993763,30.58028263753003,27.10445649708399,26.217508296542377,23.39954504291016,20.366397281608034,17.238069153073816,14.380161063331823,9.030957845327544
5,bottle,21.080465722875587,19.00670168441871,17.773494494617267,14.928704357314317,13.556843490528617,13.450147158728582,10.475131825778321,9.566937427949004,10.863750773783451,
6,cat,39.190379686273026,34.31317096074935,31.942812787596672,28.507806072329483,24.911125965151356,22.25722369609459,20.185492953888776,18.883229095951553,14.795399846995762,8.614323216922731
7,bird,31.053800072944455,30.086409005687685,25.919625549536274,21.426412355381377,19.699913053831096,16.33769219693233,14.624778073127615,12.189383189746255,9.293931977692743,9.54464966671919
8,pottedplant,27.96244523041223,24.154828562947227,21.042930094348343,19.201626000973622,16.79769738158155,15.386791553297096,13.08874720260299,10.554084720907174,3.538318884691545,
9,sheep,13.483249136097475,12.674845620662907,12.47871122386931,12.12495920461975,11.00183753289021,10.046527956805129,8.652411005341559,8.337310994502658,6.479941556111278,11.761730291045135
10,boat,28.023042168773987,27.04847775612415,23.612077261481765,21.602643922264544,19.189781950412936,16.446470559312225,13.649275640152096,11.683357758347066,7.3415724503731505,
