Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.009072124805305733,0.8783824870781393,0.017958767564812253
chair,0.004230127549647489,0.6683673469387755,0.008407046516851528
car,0.005664684496801285,0.7992047713717694,0.011249632707887335
dog,0.1445221445221445,0.6813186813186813,0.23846153846153845
bottle,0.004819749216300941,0.36716417910447763,0.009514600657513052
cat,0.14185393258426968,0.4156378600823045,0.21151832460732986
bird,0.010973936899862825,0.6325581395348837,0.021573604060913704
pottedplant,0.003373745131384058,0.4900398406374502,0.006701353891416274
sheep,0.006083218428096358,0.6637168141592921,0.012055939559556342
boat,0.0047746722003893195,0.6341463414634146,0.009477981918926801
Mean,0.03353683358342022,0.6230536461689188,0.05469187899467456
