Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.011124183998785486,0.8911523259349347,0.02197406745161544
chair,0.0030656294967779606,0.75,0.00610629945791015
car,0.008728044528187468,0.8011928429423459,0.017267974976433287
dog,0.06926751592356688,0.717032967032967,0.12633107454017425
bottle,0.0034361415855930447,0.4955223880597015,0.006824956316168157
cat,0.10438144329896908,0.6666666666666666,0.1805013927576602
bird,0.009078300340436263,0.6697674418604651,0.017913789886172794
pottedplant,0.007911839502684374,0.5577689243027888,0.015602362643486013
sheep,0.021088842357164225,0.6238938053097345,0.04079861111111111
boat,0.004635833544601789,0.624390243902439,0.009203336209375898
Mean,0.02427177745767666,0.6797387606012043,0.044252386535010735
