,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.010797646183541334,0.010724879285249218,0.010639199228510862,0.010580083557711745,0.010508054728466389,0.010416737491474185,0.010286975600112352,0.01011950102368347,0.00980761195372887,0.009450944661689319,0.008937370600026794,0.008170836080387016,0.007198634452708504,0.005715095336236443,0.004168793918564805,0.0028522657979633296,0.0015682076322992222,0.0005733769703068358,0.00011273242221264625,2.3423017682361368e-06,0.003929965551247383
chair,0.0033605725492228708,0.003232783812081017,0.003198362224335078,0.0030401641689674777,0.0029846372247148106,0.002929622049533596,0.0027783021704863267,0.0025793570616496264,0.0023779247551256643,0.002118979840351796,0.001945705068139186,0.001654078580462319,0.0012826570591644758,0.0008667423347944954,0.0005135704985846719,0.0002752908189160821,9.830060324472235e-05,2.662222709699322e-05,5.015336900240937e-07,0.0,0.0006663468724092971
car,0.008919385815281457,0.00866789516528033,0.008561214394880029,0.008561214394880029,0.008525800929645664,0.008455194186525546,0.008279961754925461,0.008037718973565849,0.007799072585566822,0.007398331611101287,0.006976122370146528,0.006199044519019452,0.005243541519737484,0.004167742832332986,0.0031076141445710494,0.001941318456888895,0.0009630994628089257,0.00033119847019701847,4.242276249836602e-05,2.9725292062003874e-06,0.0028975077067406904
dog,0.0802697743952161,0.0802697743952161,0.0797609340012167,0.07824412042609923,0.07624435340866437,0.07427047334291151,0.07329324091691583,0.06897578275670149,0.0643323107987419,0.06117814752973764,0.05723928603787261,0.054686185428234904,0.05096574509118679,0.04354185272913188,0.03704746372590896,0.028592138132774177,0.017719618426332205,0.0069967576593018286,0.0008809653244282219,3.963939476306968e-05,0.029770965194993466
bottle,0.004058838006171554,0.003761590736283183,0.0036458564380452765,0.0035037315551994116,0.003174160057482875,0.002963487467721687,0.002710318690326268,0.0024448870502757586,0.002126843773672764,0.0019132326177453793,0.0015760321501742936,0.0011881414162363125,0.0009403976840707957,0.0005538632114402901,0.0003178737439395605,0.00017094543562971918,6.154035682669891e-05,2.492130152486154e-05,9.041742049836387e-07,0.0,0.00048346194740475157
cat,0.07995863297170225,0.07995863297170225,0.07995863297170225,0.07995863297170225,0.07995863297170225,0.07707747892412685,0.07565672635479495,0.07216266625696127,0.06740975330118468,0.06217609732485508,0.05777011232205488,0.052343167914781275,0.04944384145062141,0.04072108149007207,0.0337825224305442,0.024993680955142216,0.016520378713161622,0.006766747120911001,0.0017990692418633004,0.00010573042376423439,0.02842463320629162
bird,0.015547809398285442,0.013888166299591304,0.013709542225228192,0.012662076779448405,0.012153951985386352,0.011656232477209535,0.010535351958795068,0.009769407303354549,0.00804906670366324,0.007381394192694333,0.006742625253628844,0.006014255241662765,0.005327506373237604,0.004176566140043587,0.003165519194862101,0.0017486661001566573,0.0007913797987155253,0.0002312285752273266,2.081057177045939e-05,0.0,0.002821855724930487
pottedplant,0.014612815194058083,0.013194973171318358,0.012112783545798648,0.011459925165429973,0.010700366938962261,0.010087294941884753,0.008915405106763143,0.008029977231337925,0.007500094944778309,0.006494584530692482,0.005383459353688288,0.004297291089839461,0.0031959316614612815,0.0022005486903950247,0.0011751450846636151,0.0005501371725987562,0.00015950722755821923,2.929724587804027e-05,3.255249542004474e-06,0.0,0.0016994572775624692
sheep,0.018890382128458047,0.017924284301544233,0.017544945102315083,0.017356796916601164,0.016798438015062,0.016798438015062,0.016068159342749196,0.015178132210867966,0.014656287242944443,0.013806831148413926,0.01266019220528945,0.011108350026624744,0.009939904150924257,0.007924030732560794,0.005915257245733703,0.003838527271344169,0.0013713010624540405,0.00042650303014935215,4.1078175317595153e-05,5.071379668838908e-07,0.005322565103836499
boat,0.010586231855959258,0.010009435547455633,0.00967111300683754,0.008904313208473898,0.008272260783021184,0.007964959220339421,0.007270541703827213,0.006982628252355655,0.006424250649501725,0.005715938319955536,0.004888712241653418,0.003981348637015782,0.0032963020409218402,0.002280041878320214,0.0014075768738609485,0.000942262204816007,0.00041878320214044744,0.000129254074734706,2.6173950133777965e-05,1.2925407473470601e-06,0.0017371747644344487
mAP,0.02470020884978964,0.024163241568572164,0.023880258313886966,0.02342710591445136,0.022932065704310813,0.02226199181167891,0.02157949835996958,0.020428005812075357,0.01904832167089084,0.017763448177723677,0.016411961760267428,0.014964269893426401,0.013683446148403444,0.011214756537532778,0.009060133686123361,0.006590523234623001,0.0039672116485541635,0.0015535906675327965,0.0002927913405661379,1.5248432821597153e-05,0.007775393334985112
