,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,67.85312159147752,56.10824418154384,48.67812371731654,40.612965435553015,39.92891746028143,47.7649563531278,39.07833128426239,19.730249431089188,,
2,chair,79.30197417091445,92.81271862280884,92.81271862280884,92.81271862280884,,,,,,
3,car,64.42246428907461,52.00520356212074,47.06002390325831,41.75998575015572,36.73202981341625,36.562982077292936,27.312881538487016,,,
4,dog,43.2467276708403,46.3539386868207,42.54570179986059,41.06434021500703,30.72274860295144,19.224273211861984,5.983252810009608,5.983252810009608,4.519506728123151,
5,bottle,66.88372996083454,60.44747780512722,53.31401656343557,46.41806328048416,38.492700572995595,30.977722774478195,23.249671763632158,19.37746018763564,15.522422239590574,
6,cat,37.17880446502756,34.50230541168446,33.474925305256846,29.210086822559095,15.715340438618233,13.080301070320273,17.56153074905975,17.56153074905975,,
7,bird,67.35830177783888,58.81868923593059,50.843287396321834,41.99267536835739,36.321638068170344,33.87751520719711,18.851494873706457,12.966835646205787,12.966835646205787,
8,pottedplant,54.17098584124348,46.49361304083838,36.26598483828077,23.036922857848147,24.627250915181932,25.8928260035061,25.8928260035061,,,
9,sheep,50.801841002902286,47.1251265060019,43.304217793361964,39.04395404614392,33.142467006907204,29.90714355446083,21.623239659461344,15.221679466297978,4.665486759676078,
10,boat,60.737148937500926,52.374718099172135,52.374718099172135,52.374718099172135,,,,,,
