,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.007332649205518154,0.007265015600271638,0.007206653282749724,0.007099525830177017,0.006944736270926342,0.006800354452875299,0.006618789297688109,0.006414294522387075,0.006130086449173255,0.005783882471285126,0.005231781256515871,0.004560075973418935,0.003690134069052886,0.0026942644848354136,0.0018027835838785797,0.0010707174406902845,0.0005602945429476906,0.00019857017593488473,3.279072162113997e-05,4.352226849840192e-07,0.0019841847471580667
chair,0.1474711427124041,0.14695505861919236,0.14695505861919236,0.14541223404255318,0.14438820741062383,0.14184397163120566,0.14032828556954696,0.13732133810971198,0.1348404255319149,0.1328719785786655,0.12897850629613547,0.12277509408018528,0.11443814227818787,0.1024822695035461,0.09078014184397162,0.07566263207410624,0.054148574323346355,0.02987452959907367,0.008243323925314808,0.00038039151830945145,0.07277636054421768
car,0.07844292672768625,0.07812372898452168,0.07812372898452168,0.07717004031457736,0.07717004031457736,0.07685344561111238,0.07685344561111238,0.07622220848395714,0.07434411534068909,0.0737232903723323,0.07187643370545956,0.0700530043958833,0.06677089671463853,0.06128726820744925,0.054164050069468624,0.04526978879586638,0.034580080889458666,0.02182681326118575,0.006377447264042585,0.0004949029228882027,0.043270068622634085
dog,0.06718347078917011,0.06718347078917011,0.06718347078917011,0.06625999763539746,0.06488677068787566,0.0626300131970385,0.06218345481212595,0.05910228184145021,0.05567680356863259,0.05073031068960118,0.04834334028867324,0.04262755273223433,0.039370632275546505,0.032596365541989275,0.024186049484101246,0.018456681440106853,0.011312546133715077,0.004141249852212341,0.0008180246621654008,7.189669882313093e-06,0.022185963208062657
bottle,0.2061706188468879,0.2061706188468879,0.20317181342597043,0.20019497727553584,0.19871479767674965,0.1943072127861154,0.18994905875406776,0.18564033558060664,0.17301075121174256,0.1675404028614975,0.15949964986475168,0.14527180106825577,0.12110560353705255,0.10123439838525863,0.07750758626371362,0.05934174573315575,0.030855840393249942,0.01089950431833473,0.0009913633305414053,6.865397025910008e-05,0.07067761468645732
cat,0.37393036775752825,0.37393036775752825,0.37393036775752825,0.37393036775752825,0.37393036775752825,0.37393036775752825,0.37393036775752825,0.3669736756156509,0.3635198249395781,0.3635198249395781,0.3635198249395781,0.36008230452674894,0.36008230452674894,0.3431396564112614,0.3331700307008949,0.316880593115161,0.3041429877849631,0.2764386961917826,0.16003657978966623,0.023809523809523808,0.2841302501796329
bird,0.24367452407319518,0.24047882718979063,0.23730422401518747,0.2310182987923852,0.22174761377419186,0.21869957285239675,0.21869957285239675,0.21266677213521068,0.21266677213521068,0.20671834625323,0.1893793176185203,0.18656330749354005,0.18656330749354005,0.17279966250065917,0.16744186046511628,0.15187470336972,0.13467278384221906,0.09518536096609187,0.03671360016874967,0.0010546854400674999,0.1322248589358224
pottedplant,0.0012798491484470366,0.0012480528961653055,0.001134888456702792,0.001075428798347857,0.0009892389572571268,0.000906648691896404,0.0008710973266617641,0.0007853296580331953,0.0007119383084269356,0.0006122833877535857,0.0005066291741968902,0.0003697564180435266,0.00023117275243824596,0.00014578281706529523,5.779318810956149e-05,3.208510712426251e-05,1.5020451811635358e-05,4.355042241243387e-06,5.554900817912485e-07,2.2219603271649937e-08,0.00013631726607157238
sheep,0.011990142902722037,0.010747090728955013,0.010613171903074675,0.010480092693657536,0.010216453124212859,0.01008589276418532,0.0096992493828819,0.009572047488707158,0.008948632264781448,0.008228241339356181,0.007314738627395006,0.006878138066531208,0.0055519638629074235,0.0040318382562845295,0.0030331144733085924,0.0020570603348390453,0.0011351614582458733,0.0003530587227754362,6.716931705596883e-06,0.0,0.0030361790733992714
boat,0.02879622344610543,0.02817023728143151,0.02755113008560017,0.02724415610100046,0.026333552600465188,0.026033457584708052,0.026033457584708052,0.025438426779825704,0.023980945256306077,0.023127093248722017,0.022566457288052524,0.021465822273241245,0.0198664620173436,0.018329012481029094,0.01709509744489301,0.015904175964022993,0.013435486020645506,0.009661511739390267,0.003976043991005748,0.00024850274943785926,0.014254857196906182
mAP,0.11662719156096646,0.11602724686939143,0.11531745073196975,0.113988511924116,0.11253217785744081,0.11120909373290622,0.11051667789487178,0.10801367102155408,0.10538302950064556,0.10328556541420215,0.09972166790592786,0.09606468570280827,0.09176706195274567,0.08387405185893781,0.0769238507517456,0.06865501833747929,0.0584858775840603,0.04485836498690228,0.02171964462748944,0.0026064307522656494,0.06446766544603622
