Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.006277755765297592,0.8333840072970508,0.012461639880884726
chair,0.14202127659574468,0.9081632653061225,0.24563017479300825
car,0.07692307692307693,0.9343936381709742,0.1421442613034931
dog,0.0715324222157604,0.6758241758241759,0.1293715487772811
bottle,0.22171113155473782,0.7194029850746269,0.33895921237693394
cat,0.41865079365079366,0.8683127572016461,0.5649263721552878
bird,0.30385487528344673,0.6232558139534884,0.4085365853658537
pottedplant,0.0008421451835988042,0.601593625498008,0.0016819358970788893
sheep,0.012523719165085389,0.584070796460177,0.024521642206947795
boat,0.028556319407720784,0.7902439024390244,0.055120789384144275
Mean,0.12828935157452628,0.7538644967225294,0.19233541621409136
