,epoch,time_elapsed,total_time_elapsed
0,1,365.9848279953003,365.9848279953003
1,2,363.7256507873535,729.7104787826538
2,3,372.74056577682495,1102.4510445594788
3,4,369.1534962654114,1471.6045408248901
4,5,368.9641971588135,1840.5687379837036
5,6,370.54994535446167,2211.1186833381653
6,7,314.64242029190063,2525.761103630066
7,8,320.77610063552856,2846.5372042655945
8,9,319.6680829524994,3166.205287218094
9,10,314.8182029724121,3481.023490190506
10,11,316.40864729881287,3797.432137489319
11,12,316.670081615448,4114.102219104767
12,13,316.53163027763367,4430.6338493824005
13,14,311.2839527130127,4741.917802095413
14,15,313.7933659553528,5055.711168050766
