,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.03996715628136119,0.038894261472493384,0.038894261472493384,0.0378359638719095,0.03576316029559347,0.03474865431986133,0.03276343399324879,0.0317927196423684,0.029895082565459356,0.028968159839430713,0.028510172429522855,0.02715810601222516,0.025406441018155278,0.022888422589179815,0.020116777666271325,0.0164674755952924,0.012874737706413649,0.005519569382355624,0.001140406897180914,7.298604141957851e-06,0.016008940790073898
bicycle,0.0372414435197302,0.036010406914494676,0.03540264724594353,0.03480006000010345,0.034202645176974446,0.033023332798849656,0.031293157401995515,0.02960953380954105,0.025347457495616368,0.020948311979848245,0.016968132703677075,0.01493795678958067,0.012672435642130418,0.010264672870125639,0.006726735735751268,0.004781904796387579,0.0033517299167757186,0.0013681058070789778,0.000258621135553682,0.0,0.0071330295397061035
bird,0.009298866549306648,0.0086399209364094,0.008274251829889744,0.007653355569968189,0.006890638994409957,0.0064842027239877705,0.005783748726026127,0.0055591587139812845,0.005052410512986812,0.004436455727477686,0.0038605268847092256,0.0034988109577195094,0.0032109700731955894,0.002470737206213904,0.0018273572377158036,0.001280830167701288,0.0005003242842583156,0.0002690632817566942,2.470737206213904e-05,0.0,0.001694332746533247
boat,0.011232235128122015,0.010616888913541256,0.010018876395145872,0.00943819757293586,0.00822171877464635,0.0078001632834180665,0.00749127681739471,0.0066020582030850514,0.005591503715477777,0.004909249433621477,0.00396906975252682,0.0033977511262569095,0.0027460041496868664,0.0018983864062221037,0.0012480261253468904,0.0007020146955076259,0.00040075505580583487,7.800163283418065e-05,8.66684809268674e-06,0.0,0.0014448675792279918
bottle,0.002738602410506278,0.0023119273947266547,0.0021846901142034618,0.001843740215883254,0.0016566854088247856,0.0014624785062023174,0.001217156626891679,0.0010661123709246809,0.0009524790763693763,0.0008194400959481128,0.0006386371206763582,0.0005001465429370805,0.00033629853547089295,0.00021131191439091655,0.00011048237133480109,6.126795150979237e-05,3.646068298011317e-05,9.802872241566779e-06,2.4507180603916947e-06,0.0,0.00019068587096019132
bus,0.18549852373381787,0.1817700052994171,0.1817700052994171,0.1780793398440457,0.17442652736770384,0.17442652736770384,0.15330456506927095,0.1499167234461352,0.13998031645090467,0.1272617154970096,0.12112953289423879,0.12112953289423879,0.1122151563328034,0.10931940343705049,0.09273979862215156,0.08496101143159966,0.06588311000075706,0.03664168370050724,0.011829055946703006,0.00017033840563252328,0.07560186236656825
car,0.013907449266157692,0.013440005553391117,0.013382136920680833,0.013151910904029774,0.012753822154522235,0.012417472431714233,0.011921375318285283,0.011328768057963021,0.011117020051325172,0.010647890844401984,0.009938235378759566,0.008453939283880977,0.0073015606864356,0.0054694909639097615,0.004252501757127658,0.003104368107928558,0.0019557350530534255,0.0008692155791348557,0.00019576702500480523,1.2235439062800327e-05,0.0041553049274298
cat,0.056741540923639686,0.056741540923639686,0.056199858668994476,0.05566077441077441,0.05405910961466517,0.05248082678638234,0.05092592592592592,0.04939440703329592,0.04542466849565615,0.04255648044228291,0.039328469884025434,0.03798400673400674,0.033254354242008566,0.029227459783015337,0.023674242424242424,0.020296847071538428,0.011971567527123082,0.005831202976264705,0.0018757534189632954,3.247495531446149e-05,0.02034763790165025
chair,0.004605384997176345,0.004506701038610069,0.004376784972820051,0.004344602839521061,0.004185473471917199,0.004013860167918296,0.0037258983580164954,0.0034773329419225904,0.003195887717130686,0.0028738288776219757,0.002375065188117335,0.001977612873043325,0.001353846533856584,0.0008837617564984604,0.000547215019342234,0.0003078084483800066,0.0001454875869296125,2.495302863265775e-05,2.1375586693056014e-06,1.4844157425733343e-08,0.0007617902837626947
cow,0.042561209927036166,0.042561209927036166,0.040534779841963166,0.03855777488091634,0.035684939546895174,0.03027288846602949,0.02610264362632135,0.0229888608126726,0.018688875022395756,0.015445351258178313,0.012510734519124432,0.00988502480523412,0.008921234886723793,0.007568222116507373,0.0055603264529441926,0.0038613378145445783,0.0022303087216809484,0.0008896522324710707,0.00015445351258178312,0.0,0.005158129506181229
diningtable,0.019040169407975552,0.018795282317567042,0.01831026322588417,0.018070131224609806,0.01643358804760795,0.015533291171543012,0.01380877884555946,0.012581965848949838,0.01066407989817769,0.009589429753860736,0.00824532455860885,0.007152446572611004,0.006137235042470871,0.004577565806471042,0.003452194711389865,0.002397357438465184,0.0012054150955059652,0.0004564885568779987,2.853053480487492e-05,3.17005942276388e-06,0.0033655728376628417
dog,0.06710541854311822,0.06710541854311822,0.06481138669637072,0.06122391985011793,0.058600345341559404,0.056034221369684625,0.05027001752241368,0.04481859993042102,0.03722794777107877,0.03320641020321531,0.030030672203196163,0.02701451902729858,0.025566286748395374,0.023605787184061942,0.018435238882523228,0.014542167098077643,0.008797113429701289,0.003909828190978351,0.0008689393673419232,1.2766785929725228e-05,0.015278331891750424
horse,0.04602272727272727,0.04433396464646465,0.04267676767676767,0.04186000631313132,0.04025015782828282,0.03945707070707071,0.03712515782828283,0.03561000631313132,0.03339646464646465,0.03267440025252525,0.029182449494949497,0.02784090909090909,0.025252525252525256,0.019890309343434345,0.018244949494949494,0.011083491161616162,0.007638888888888889,0.00404040404040404,0.0014244002525252526,1.5782828282828283e-05,0.014461410984848483
motorbike,0.07848092255125286,0.07699316628701595,0.07699316628701595,0.07699316628701595,0.07551964692482915,0.07261531890660591,0.06976793849658315,0.06560364464692482,0.06156748291571755,0.057659453302961274,0.053879555808656034,0.046704157175398636,0.04004128701594533,0.032915717539863325,0.0264877562642369,0.020757403189066062,0.014414863325740318,0.005580865603644647,0.0008613325740318907,2.8473804100227792e-05,0.024167141230068342
person,0.012384202269725584,0.012300615317256467,0.012171992205556155,0.012081606437483992,0.012044045115775432,0.011924241867908353,0.01159787064884778,0.011290559037402424,0.010951555097315099,0.010302929609292475,0.009667376607420768,0.0087936229547065,0.0073216261603884095,0.005650518688578014,0.004041957279386603,0.0026703111437200587,0.0014671313078380172,0.0005471988083225952,9.972375943199993e-05,3.667828269595043e-06,0.004026313453806256
pottedplant,0.00640415083850644,0.006053306155224065,0.005768485060618851,0.0055455696593471075,0.004955200730240108,0.004799956075783001,0.004349046535648963,0.003966905847754546,0.0031713284673536685,0.0028859583200359635,0.00231974771027861,0.0016912196176534174,0.001238800182560027,0.0006347049356407274,0.0003295688906733102,0.00014055749439794655,5.4905271249197864e-05,1.660884455288236e-05,2.196210849967915e-06,0.0,0.0006428309157856086
