,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,20.176442614624357,19.479509724732928,19.484283994882645,19.361795552737345,18.873081989396955,17.720764261072393,16.140621885842034,14.780888924072265,11.288224770296294,4.951366794293933
2,bicycle,33.88663458988007,31.532844301129515,30.348234910873398,29.05990537313427,25.65702162320295,22.029773372997514,19.58857376872919,15.908963421768584,11.858143078089595,10.178502457017247
3,bird,25.70077336965908,24.18054106297787,22.726876307843337,19.20108918439509,17.880260792733754,16.788529842158724,13.909136469088118,12.474372447023656,7.720041379869129,
4,boat,27.510021689548545,27.00609353987852,25.26040705899503,22.992448810895116,21.70567736946828,20.5042118722941,20.266346688939084,15.751897146039617,15.437003230669761,
5,bottle,22.376647270907394,21.768819608744504,20.327006706480773,17.15976126711558,15.750470928448548,13.365794043335303,11.307095652807137,11.913118518948274,11.064446663016756,
6,bus,24.89639537918972,24.89639537918972,23.600635452620594,22.853419286617346,20.630385646410293,19.803287013290543,17.482381081032024,15.33444855745018,12.14023273284479,8.28305529064521
7,car,17.262289330442165,16.111373528945695,15.258851514827656,14.076973870123913,13.197924617673646,12.20318280816979,11.205215614252321,10.252309770119538,9.483230425420253,4.516832390319117
8,cat,39.715946263903334,36.5074142995973,34.09211061921305,31.010153582834693,27.691175033355023,24.770056610372155,21.31583445293684,18.322632385210802,14.539549070365561,8.506038542941171
9,chair,31.60050170899721,28.04892225373631,24.047801495720492,20.277022955825313,17.223492315820266,14.810950691006639,12.494515551598694,10.21209032773285,6.732235696947221,2.471187427233387
10,cow,19.73088763955272,19.18718198170996,18.565556704724457,16.80666445015763,15.148280782604525,14.110187752689484,13.076089583498323,14.401654130884566,14.046306729778639,14.149999320271405
11,diningtable,49.78106490749815,45.93966112324067,41.32996355900096,36.76380563607978,31.37630249838134,28.57305751065207,25.120483205107814,21.365326798684208,13.531864142532115,7.005389244084452
12,dog,31.54452825835239,29.222402147620056,27.471828796148305,25.95471429591492,23.438407353720926,22.26551938142491,19.165792267165006,16.55858939711517,12.907835658276314,6.940660792349263
13,horse,33.74528828553182,33.444828192761854,32.03639973882335,28.426800360129963,26.341014751658562,23.11151108240159,20.004139912458566,16.563133830051388,14.40315537317871,7.139886991163274
14,motorbike,40.02001305687832,38.15972553077472,36.12543223510149,32.25485900546936,28.941617822473745,24.371275865584433,22.826009702190824,17.651768004403316,14.230002385908495,4.815837093942415
15,person,26.03804581929042,24.515137595727765,23.01197036410107,21.333525301095616,19.19613146099019,17.540408369104014,15.393088262662559,13.020752168761874,10.303418187355124,6.471397976834467
16,pottedplant,29.84970450180175,27.59413292067815,25.94693744403885,19.880091110716695,17.960195699109807,16.245059465811703,15.187861866163415,14.348259743055875,18.065722260029865,7.356333580404768
17,sheep,15.252384927571047,14.547268315163981,11.544577303901152,10.801187871805256,9.503697858114649,10.094274115141472,8.521753462521701,9.01739945851194,2.2609047240127005,
18,sofa,56.874793074559214,46.1722237338941,40.29184966201583,37.76741029734045,33.195055281922905,26.336116286709316,21.433142149786146,14.130532788537094,9.744976233774825,5.526068097008337
19,train,31.51438092220652,31.51438092220652,30.12559009093745,29.01480294930123,25.92596278359809,25.82089524815868,20.592411868983465,17.905195682237682,12.615150829280907,8.11707197609249
20,tvmonitor,22.63598270244133,20.99921057758505,19.912618083000087,18.595146819756923,16.228947431473888,13.357878626670455,11.39733047199958,10.221269023053441,7.588392944184232,3.9936345019899844
