Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.04424778761061947,0.6443298969072165,0.08280887711162636
bicycle,0.0297466030113845,0.5704225352112676,0.05654450261780104
bird,0.006640106241699867,0.5813953488372093,0.013130252100840336
boat,0.007604292516523346,0.5219512195121951,0.014990193331465396
bottle,0.0018933047382883185,0.3373134328358209,0.003765474266482281
bus,0.22408963585434175,0.5405405405405406,0.3168316831683169
car,0.012528652620341005,0.7932405566600398,0.0246676970633694
cat,0.054924242424242424,0.7160493827160493,0.10202286719437115
chair,0.0034913458265324825,0.6802721088435374,0.00694703752268642
cow,0.03697617091207888,0.3383458646616541,0.06666666666666665
diningtable,0.014712245781047165,0.5604395604395604,0.028671820098383694
dog,0.05634620970084229,0.532967032967033,0.10191752035723667
horse,0.06515151515151515,0.4479166666666667,0.11375661375661376
motorbike,0.09908883826879271,0.54375,0.16763005780346824
person,0.011059478838889358,0.8741258741258742,0.021842604094253683
pottedplant,0.004478897502153316,0.5179282868525896,0.008880994671403197
sheep,0.02077431539187913,0.3893805309734513,0.03944419542805917
sofa,0.026676829268292682,0.4268292682926829,0.05021520803443329
train,0.03498074454428755,0.7622377622377622,0.06689168456581773
tvmonitor,0.01773158055640477,0.7341772151898734,0.03462686567164179
Mean,0.038657139838007816,0.5756806542235513,0.06611264077624686
