,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,20.466266849254403,19.3008371571664,19.49746395765573,17.37649638034135,16.808603382982977,16.447822989037792,15.14868267925211,12.716348560340252,9.662526868267138,4.0060299687567325
2,bicycle,32.03228542568397,28.699310733096574,27.71292887104627,26.010804996444033,21.31335695516506,18.98372619962861,16.087697656882522,14.012180096897366,12.191519928613136,9.237103540701359
3,bird,30.164934086508538,28.16958321274995,27.188637648376922,24.744533125108596,23.90125573050651,20.93038840372734,18.032325327388893,16.413788665017602,13.831407841910439,16.25054172979203
4,boat,26.330727425866822,22.727177048175236,22.055000883037277,21.40669478891642,19.61236324138266,17.8071305441828,16.976572322072567,12.692578270647164,11.87084927335737,
5,bottle,16.069264547591594,14.229174590198758,13.208392018129725,11.569442579157569,11.506888245853203,11.024848796219773,9.993258172783582,9.148602658651697,5.965500429959033,10.343413206490172
6,bus,22.63930801699134,20.437413216073928,20.57291390452839,19.539829264281348,19.317094862253896,16.985974070946693,16.57391650052869,14.953632433749183,12.65467955692006,6.792879094112667
7,car,16.38431380407156,15.433473420488726,14.627981073817006,13.984323324000083,13.409456760019742,12.85214646993497,12.099640059033645,10.929280950791709,9.218849372789812,9.375051452463413
8,cat,40.18652479837831,35.629015289942316,31.886459577706866,28.949659190686674,26.33945834509328,23.733207682386734,20.73967869912369,17.70428946321112,15.057169808288492,8.849825412082968
9,chair,27.148176401423235,23.781325103991133,20.59956081817902,17.5056883678004,14.483246012920889,12.054798577686167,10.609036835219623,8.14630614395969,6.168149562393674,1.4116008519401084
10,cow,19.03785562295664,16.502830767778825,16.55179015879987,14.903305189329947,13.081152550575906,11.20722918882668,11.175113932504262,10.447160805215919,8.234785134098436,5.8583431661651595
11,diningtable,39.49194011878662,38.033304634708095,34.23315718913305,32.336606864755076,30.138692280264195,25.36773206330259,20.320270820677358,17.033799942426004,10.87835833837924,8.188092974053456
12,dog,28.69256410812949,27.671686141256867,26.60612709563603,25.5046454602285,22.770746692353494,20.261802901537113,17.781159724552676,15.135600089750413,13.359816836775542,8.390331099792958
13,horse,28.83135330067232,28.281757396590805,28.53918884286302,24.165896407903393,19.15019615713104,16.46817561943587,14.675553140227365,13.406480338479783,9.872859065950633,6.024003859735545
14,motorbike,35.5365590435547,32.82749985296144,31.340751110378477,30.225524759414917,26.830299072465706,22.93115360326308,21.163270134982238,18.938127388166453,12.855756417439762,6.952538353414963
15,person,24.25035327686678,23.085357954705266,21.488465172724844,19.72092712021172,18.095338548165824,16.65621611518396,15.155684299610718,12.979783534430142,10.004332351719803,6.212819072054165
16,pottedplant,26.367262787694827,24.264366119200552,21.431137274623158,19.628962456788212,17.154342431228617,15.531875445589026,12.01157698550831,13.681184381863064,9.60537966552402,2.5617609150293736
17,sheep,12.18459677152521,11.929116372363698,10.52497105573441,9.515789579033958,8.643184389342597,7.988558947169188,7.918235416415851,6.5644892556319805,6.706405161585692,3.148011579232674
18,sofa,40.639165312975386,38.976868565262954,36.26152900944751,32.841959089534804,28.03526759266996,24.994246280002073,20.373207379042046,15.131472877672273,10.443363321607606,7.081212308465125
19,train,30.242101730827482,30.138007149866663,28.17153306129695,27.023430455898442,22.909673054901845,20.720149615171447,19.321539928438995,16.68572636927094,12.46370397510283,
20,tvmonitor,20.117087560055726,18.72506764932375,18.232544138878406,16.20461068454113,14.165653542736345,13.565216801965235,11.303051277966842,9.30096926042527,6.402560530483991,6.055661982649564
