,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,0.00013302294645826406,3.3255736614566014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.000418186076076411,0.000418186076076411,0.000267639088688903,0.000267639088688903,0.000267639088688903,0.000267639088688903,0.00015054698738750796,0.00015054698738750796,0.00015054698738750796,0.00015054698738750796,1.672744304305644e-05,1.672744304305644e-05,1.672744304305644e-05,1.672744304305644e-05,1.672744304305644e-05,1.672744304305644e-05,1.672744304305644e-05,0.0,0.0,0.0,1.1709210130139508e-05
bird,0.003341897911036086,0.002459581318512957,0.001762966864758205,0.0012889913161569656,0.0008710226439041143,0.00046666225400368165,0.00019588520719535617,8.896298871206866e-05,4.082484705725523e-05,1.1201375269677737e-05,4.536094117472803e-06,3.702933973447186e-07,9.257334933617965e-08,9.257334933617965e-08,9.257334933617965e-08,9.257334933617965e-08,0.0,0.0,0.0,0.0,5.276680912162239e-07
boat,0.0016048358910489933,0.000879425166135635,0.00043308102979901995,0.00026857790738629846,0.00014318741547730097,4.574418377252148e-05,4.229306931631054e-05,1.5225504953871796e-05,4.3308102979902e-06,3.3157766343987465e-06,3.3157766343987465e-06,6.090201981548718e-07,6.090201981548718e-07,6.766891090609687e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.601485941614587e-07
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.006081157853683703,0.0059452703470428735,0.005546820539435015,0.005288864594625304,0.004791378129635145,0.0045518476094547,0.004318458897484009,0.0039798917199212625,0.0031446058033945774,0.002407588818223974,0.00176884076440945,0.0015546452030942431,0.0011677112858796757,0.0007861514508486443,0.00047982876638711204,0.00011055254777559063,1.9193150655484484e-05,0.0,0.0,0.0,0.0005886923169050201
car,0.0066978275046666955,0.005371392073245734,0.004318658909023718,0.00263198211589041,0.0014899047968500727,0.0007486526907421611,0.0003357120045778584,0.00016764711481941408,5.7354530915435015e-05,2.154525042713011e-05,7.221538231808155e-06,2.1485568292982937e-06,9.549141463547971e-07,5.371392073245734e-07,5.968213414717482e-08,0.0,0.0,0.0,0.0,0.0,1.0921830548932994e-06
cat,0.028857726363019563,0.028233793952287922,0.027310680836410375,0.02580625364386756,0.02377165437553912,0.021820587041980765,0.018169048179174297,0.008019918104609258,0.0033830433581883454,0.001432828391311315,0.0003758937064653717,3.0685200527785446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.065789069931571e-05
chair,0.0016449904898987301,0.0013822489533176832,0.0012001862037846205,0.0010859507530972087,0.0009253071505680357,0.0007775150362411968,0.0006425744101166915,0.00048264477915431497,0.0003455622383294208,0.0002577437356134729,0.00020633778280413763,5.783169691050223e-05,2.5702976404667658e-05,6.4257441011669146e-06,2.8558862671852955e-06,2.8558862671852955e-06,0.0,0.0,0.0,0.0,3.0200997275484506e-05
cow,3.580379520229144e-05,3.580379520229144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diningtable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0013886473406710396,0.0012759503498279907,0.0010919050901230473,0.0008486872872241606,0.0006836632873747199,0.0004366836197133243,0.00019599845252778875,8.969133337993101e-05,2.8653753007955274e-05,9.537121933121208e-06,4.238720859164981e-06,1.0596802147912452e-06,1.6954883436659926e-07,4.2387208591649815e-08,4.2387208591649815e-08,1.0596802147912454e-08,0.0,0.0,0.0,0.0,5.563321127654038e-07
horse,0.00046948356807511736,0.00011737089201877934,7.335680751173709e-06,7.335680751173709e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorbike,0.006720430107526881,0.005443548387096774,0.004666965352449223,0.004123730585424134,0.003614097968936679,0.0015699671445639186,0.00036589008363201907,4.6669653524492236e-05,7.467144563918757e-06,7.467144563918757e-06,7.467144563918757e-06,1.8667861409796893e-06,1.8667861409796893e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1200716845878136e-06
person,0.04479042127126335,0.040895318686877805,0.03787492719141005,0.030358438450691475,0.022528214301872573,0.016257846273601693,0.010870936579092523,0.006968325831253658,0.00400209223916106,0.0020334397257732043,0.000853619914328573,0.00033307177553096225,0.00011319175946576973,3.281891250782672e-05,6.027963521845725e-06,1.5069908804614312e-06,1.0716379594392399e-07,6.6977372464952494e-09,0.0,0.0,0.00013403511777686293
pottedplant,0.002542287688555208,0.00032010073914170674,9.523658354629292e-05,6.613651635159231e-05,1.6534129087898077e-05,1.0581842616254768e-05,5.9522864716433074e-06,2.645460654063692e-06,2.645460654063692e-06,6.61365163515923e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheep,0.004101633393829401,0.0026018662769220885,0.0017589900904228836,0.0013157091691694909,0.0007712445593691278,0.0007095706920643079,0.0004162986043075342,0.00023416796492298797,0.00011595971925541654,4.625540047861491e-05,2.0557955768273295e-05,1.1563850119653727e-05,2.8909625299134317e-06,3.2121805887927024e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.533398647671972e-06
sofa,7.346459006758743e-05,7.346459006758743e-05,7.346459006758743e-05,7.346459006758743e-05,7.346459006758743e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,0.002133459760578405,0.0009482043380348466,0.00023705108450871164,0.00023705108450871164,0.0001333412350361503,5.926277112717791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
