Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.0,0.0,0.0
bicycle,0.0023752969121140144,0.007042253521126761,0.003552397868561279
bird,0.00013932289075095037,0.03255813953488372,0.0002774584803202664
boat,9.7104887150249e-05,0.03414634146341464,0.00019365904941072315
bottle,0.0,0.0,0.0
bus,0.0054539256902624705,0.32432432432432434,0.010727455581629233
car,0.00033022124823631834,0.02186878727634195,0.0006506180871828236
cat,0.004349627174813587,0.08641975308641975,0.008282390061131925
chair,0.007136859781696054,0.02891156462585034,0.011447811447811448
cow,0.0,0.0,0.0
diningtable,0.0,0.0,0.0
dog,7.714471963680266e-05,0.054945054945054944,0.0001540731153969116
horse,0.0,0.0,0.0
motorbike,0.0005973715651135006,0.0125,0.0011402508551881412
person,0.007864302235929066,0.10854363028276072,0.014666009366526988
pottedplant,0.0,0.0,0.0
sheep,0.0005807622504537206,0.035398230088495575,0.0011427755160345692
sofa,0.0,0.0,0.0
train,0.0,0.0,0.0
tvmonitor,0.0005414673765905604,0.0379746835443038,0.0010677106504137378
Mean,0.0024619505610622744,0.06538606355774805,0.00444188417330067
