,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.24923815081371978,0.24923815081371978,0.24923815081371978,0.2412630486935097,0.2218926278934059,0.21811580107631456,0.21065940478506126,0.21065940478506126,0.21065940478506126,0.2069798353108993,0.20333268495104712,0.20333268495104712,0.20333268495104712,0.19613564157427218,0.1925857485573494,0.18558321986643325,0.17871036763275625,0.1686442326395643,0.11437463528496401,0.001961356415742722,0.16479932568242234
bicycle,0.17501600512163892,0.17501600512163892,0.17501600512163892,0.17072129748186088,0.17072129748186088,0.1664799402475459,0.15407597097737943,0.1421521553563807,0.1307084933845497,0.11270273154075972,0.11270273154075972,0.10587387964148529,0.09925842936406316,0.08666773367477594,0.07212974818608621,0.06938220230473752,0.058925522833973544,0.03851899274434486,0.018032437046521552,0.004508109261630388,0.06659997865983783
bird,0.16044048833691027,0.16044048833691027,0.16044048833691027,0.16044048833691027,0.15621855539527849,0.14999120430637158,0.14794356682968018,0.1438905112057137,0.14188509305843858,0.14188509305843858,0.13595327727544593,0.1340041515673926,0.12824121310206524,0.12446961967420751,0.12075431868557153,0.11891777785596172,0.10819406818421702,0.08669739295640855,0.0288217288815396,0.001801358055096225,0.09878549062379058
boat,0.08909508660303993,0.08909508660303993,0.08909508660303993,0.08660303994344293,0.08660303994344293,0.08414634146341464,0.07698833510074232,0.07467302933898905,0.07467302933898905,0.07239307175680453,0.06793920113114174,0.06793920113114174,0.06362672322375397,0.061523506539413214,0.059455638034641205,0.05742311770943797,0.05542594556380347,0.04418522446094026,0.02419582891481089,0.003976670201484623,0.050569105691056916
bottle,0.11904981631675154,0.11904981631675154,0.11904981631675154,0.11904981631675154,0.11813228743322625,0.11359788453688752,0.11270165226187728,0.10479528635064866,0.09884465898805614,0.09144941168118978,0.08589632101087902,0.07976289775853196,0.06887500665519015,0.06272561094645679,0.04890411202016079,0.0394005004703001,0.026414893428221554,0.012822333043462829,0.002983299909489414,1.5972456386320478e-05,0.042780094769907885
bus,0.19437536810418166,0.19437536810418166,0.19437536810418166,0.1873077678162424,0.17021137360120409,0.16689025587330672,0.16689025587330672,0.16689025587330672,0.16034618153262223,0.1571232249198351,0.15077547280937112,0.1445586021857208,0.13847261304888422,0.12958903213140502,0.12383024671160264,0.12383024671160264,0.11820234277861398,0.09449643347948432,0.0361396505464302,0.0023558667626464237,0.10622505071657613
car,0.1088201683333797,0.10689843714890421,0.10689843714890421,0.10546837382593566,0.10404794055901406,0.10170195190536008,0.10123596419331161,0.09846250805179686,0.09572757213446981,0.09037326097237885,0.08862273078429317,0.08474663322540538,0.07971332393154527,0.07166687710122473,0.06367874561029946,0.05478431884473568,0.04406767147384797,0.027811601863522845,0.010787802785012207,0.000943745492598767,0.05268234511124855
cat,0.44353652880165,0.44353652880165,0.44353652880165,0.44353652880165,0.44353652880165,0.44353652880165,0.44353652880165,0.439362090574454,0.439362090574454,0.439362090574454,0.439362090574454,0.43107242600980944,0.4228617106314948,0.41472994443951017,0.3987032596145306,0.3714164470892422,0.3414157562838618,0.3022273539193337,0.19899142414463492,0.03672124029171725,0.33575016529985885
chair,0.251982680827433,0.25093819415521307,0.246781939816743,0.23959201027349716,0.23755726780508124,0.2335138136887408,0.22355702485075662,0.21768707482993194,0.20902857316395948,0.19315302651672914,0.17702693322226848,0.16581741114813273,0.15009371095376928,0.13591992919616824,0.11385880882965431,0.09826743197278912,0.08083545918367346,0.04338470081910315,0.009180202693322228,0.0003514160766347355,0.09747360040955158
