Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.3522012578616352,0.5773195876288659,0.4375
bicycle,0.24621212121212122,0.45774647887323944,0.3201970443349754
bird,0.2102874432677761,0.6465116279069767,0.31735159817351594
boat,0.2246376811594203,0.3024390243902439,0.2577962577962578
bottle,0.13079667063020214,0.6567164179104478,0.2181457610312345
bus,0.2324455205811138,0.6486486486486487,0.3422459893048128
car,0.10952637244348762,0.8091451292246521,0.19293671486134156
cat,0.5059952038369304,0.8683127572016461,0.6393939393939393
chair,0.2576530612244898,0.6870748299319728,0.3747680890538033
cow,0.24242424242424243,0.48120300751879697,0.3224181360201511
diningtable,0.22053231939163498,0.6373626373626373,0.327683615819209
dog,0.28125,0.8159340659340659,0.4183098591549296
horse,0.24581005586592178,0.6875,0.36213991769547327
motorbike,0.13379469434832755,0.725,0.2259006815968841
person,0.10604336884200366,0.9352386743691091,0.1904879861283131
pottedplant,0.3492063492063492,0.701195219123506,0.466225165562914
sheep,0.21515561569688768,0.7035398230088495,0.3295336787564767
sofa,0.43902439024390244,0.6585365853658537,0.526829268292683
train,0.3829787234042553,0.8811188811188811,0.5338983050847458
tvmonitor,0.21029411764705883,0.9050632911392406,0.3412887828162291
Mean,0.254813460464388,0.6892803343328817,0.35725253954389447
