,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.010406740394441102,0.010296907491423148,0.010219729193853971,0.01011089025375926,0.009939226001999103,0.009781588119522877,0.009531988505127263,0.009242830980923501,0.008826391766441793,0.008349776463988634,0.007679119639014602,0.006946273598322961,0.005879325973620555,0.004777603759668588,0.0036698643401498706,0.002668507179545406,0.0017036484181283708,0.0008606710839266082,0.0002757380166640445,1.5004202991374361e-05,0.0034475756212032373
chair,0.005445774079314452,0.005306781020496902,0.005169584732522791,0.004976706882798398,0.004768776493661102,0.004565283028443322,0.004384139192390375,0.00418911621829167,0.003862708959865493,0.0034533935610920057,0.003022168558666365,0.0024159050741762006,0.0019604786685532027,0.0013966409772438607,0.0009364476285668377,0.0006480109050056056,0.00036969476823599565,0.00016896979686882243,4.050068156285035e-05,1.4850861052923848e-06,0.0010960302144985032
car,0.0063017420855105135,0.005969794554955159,0.005869463659623611,0.005720561557547873,0.0055492603705239105,0.0053805631103385305,0.005261659308270555,0.005074176575892537,0.004620349326882256,0.004103815268289756,0.003578778591448821,0.0032549085482294813,0.002653242024424515,0.0020534885897254464,0.0015177439280278874,0.0011495539871885737,0.0008137271370573703,0.0004285585304032106,0.00016165602944839317,5.9784034559317e-06,0.001561763576940963
dog,0.04300162089164064,0.04193660661076733,0.04114660973236091,0.0401049656708171,0.03907667602031874,0.0380617407808658,0.036811851372082274,0.035826963557481564,0.03437467135629068,0.03179017549365415,0.030198079301831392,0.02842861983831147,0.025254860588295194,0.023638976851797756,0.020939716519239534,0.017028543384308235,0.011499817211498816,0.007718849584260491,0.0029446476355180595,0.00015065444960629527,0.016780276536466722
bottle,0.0019397064114884837,0.0017729305432382964,0.0017458632987033098,0.0016527675932209566,0.0014866423798874757,0.0013529458076026427,0.0012255475749115272,0.0010100506664983638,0.0008526442290487491,0.0007258445988810037,0.0005547744081805542,0.00041319189830523915,0.0002924303457645293,0.00019248975055842455,0.00015032731195584919,0.00010329797457630979,6.24888982004837e-05,3.0086283348504436e-05,5.101134546978261e-06,4.16419146692103e-07,0.00018046044245835648
cat,0.03814231661174173,0.03814231661174173,0.03780402722589142,0.03746724469699367,0.03679820021005586,0.0361351831509283,0.03482723131610393,0.03354338919252056,0.03291050927244425,0.031354679468923334,0.026913218601244966,0.02578608960072811,0.024683070311452265,0.02307374708611537,0.019772976931526912,0.014348291902301422,0.011772319941895594,0.008149082399458737,0.003798032948934125,0.0005093176499661711,0.01588061473736237
bird,0.004861781980783141,0.004761022393290783,0.004661317880013004,0.004465074076101185,0.004320660792980591,0.004178621426842803,0.004038955977687818,0.0037223018290370932,0.0037223018290370932,0.0034611709609286235,0.0032095357607513715,0.00288879319951915,0.0024753359916807396,0.0020606918253509277,0.0016249461747295218,0.0012408991606225202,0.0008230897716489689,0.00045908916761898107,0.00020059598504696072,6.4623295643005095e-06,0.001498943936653344
pottedplant,0.003971784319287188,0.003759049367520122,0.003586242879559489,0.0034509252343987865,0.0033182098516450196,0.0032528280086707383,0.0030922196257426207,0.0029978062927909525,0.0028133709446993213,0.00251899000991462,0.002107913870318855,0.001903636271374333,0.00123030087357949,0.0008627313085996966,0.0005335451141222178,0.00020330175054192114,9.961785776554134e-05,1.3743198336633872e-05,6.5869767175582455e-06,8.132070021676846e-08,0.0006961458542056464
sheep,0.014201893539398384,0.014061628783580879,0.01392206013076991,0.013507530790376237,0.01296457044527621,0.01296457044527621,0.012697266890765427,0.012301532331548293,0.011276868705923628,0.010416833441345317,0.009475702176505271,0.007935922326042118,0.006532578664860512,0.005180398574659483,0.0038372678235434566,0.002882214498572641,0.001705452366019314,0.0008019106635323469,0.00015349071294173827,1.3922060130769912e-06,0.0038506330012689966
boat,0.00499536262194465,0.0048934191270168645,0.004842841491002436,0.004792526595954315,0.00454489323520834,0.0042564036542013595,0.004069332086189546,0.00375207236937176,0.0034476869599031016,0.003075251640160482,0.0027620644083204806,0.00228899929848162,0.0018603374119489336,0.0013401102986576564,0.0009269501291371848,0.0005897220988799353,0.00042682269976852523,0.00022083378218248412,2.955835870973166e-05,5.254819326174517e-07,0.0010445923968019168
mAP,0.013326872293555026,0.01309004565040312,0.012896774022430085,0.01262491933519678,0.012276711580155636,0.011992972753269259,0.011594019184927135,0.01116602400143563,0.010670750335053636,0.009924993090717793,0.008950135531628267,0.008226233965349068,0.007282196085417994,0.006457687902237721,0.005390978590099927,0.004086234284154258,0.002927667907021898,0.001885179448993682,0.0007615908480090441,6.913175494819687e-05,0.004603703631786005
