,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,23.463255258576208,21.705337947191335,20.69543022841203,18.960089018839398,17.248547226443083,15.348441771779338,13.40161128295079,11.317278351655643,8.662837277774024,5.8117931625570405
2,chair,30.76486997162498,25.970056835434786,24.115439284489895,20.44676808426986,16.81639173089707,14.105684703168642,11.34720823826065,9.145447432404582,6.431259524410266,3.9825622587356975
3,car,17.682463157127998,17.398790812658724,16.336415503832747,15.872246642821139,14.707970372113342,13.847696179372553,12.91942650610103,11.335462644297408,9.712978292449153,5.778403583536149
4,dog,28.99746387512387,27.329201664329297,25.54406129526323,24.03665261259998,22.749245748229328,19.355556116369115,15.811742831152962,13.36245056023871,11.265419532458145,7.482124056267411
5,bottle,20.77124211545964,18.35333774629803,16.777015072194366,14.024423396420987,12.333159688615766,12.066490699670005,11.85177599538794,10.454442642456383,9.61010606326764,5.737760596806363
6,cat,32.72619052860243,30.238725539677286,28.89262986207341,27.426337666093133,25.290929767725018,20.931034123378836,18.69657408552397,14.191528252655047,10.8576952033219,6.3931287961004575
7,bird,27.217933775368678,25.17580840231008,21.890258565780787,18.969099373154773,17.985995639825095,15.545364265370537,13.446388829197948,11.447739071820584,9.222043117904489,6.175282702317988
8,pottedplant,25.792503217211067,24.783218911130472,21.771146197677904,19.28112049589149,16.691109144179148,15.141243313463914,10.951864837607285,8.378276230666176,8.6042944614955,0.9873594103450191
9,sheep,16.878613850037787,14.898517383088647,13.805088578963437,12.777235576117505,11.50302916622552,11.538842055639337,11.226662618411064,9.995915895621213,7.810682876599003,5.2036913819833615
10,boat,26.082908758082272,25.06666792935098,22.53450668054496,21.914827940352563,21.7053539641422,17.853290550826284,17.014660866859113,13.91779925109816,10.943734094560387,6.94115728648382
