Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.009150950903159068,0.8391608391608392,0.018104474625857257
chair,0.004376933774620253,0.6904761904761905,0.008698726257940803
car,0.0049049744727486565,0.7296222664015904,0.009744440756720875
dog,0.04086282849764545,0.739010989010989,0.07744350079170866
bottle,0.0012729412790444222,0.43582089552238806,0.002538468225680258
cat,0.0346027096301721,0.7777777777777778,0.06625766871165645
bird,0.0044233986446252874,0.7255813953488373,0.008793190913702724
pottedplant,0.00328625081645983,0.6414342629482072,0.006539000467071462
sheep,0.012978840556910249,0.7300884955752213,0.025504289357755623
boat,0.0039049876117634385,0.7073170731707317,0.007767094303238075
Mean,0.011976481618714875,0.7016290185392772,0.023139085441133217
