Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.01026811180832858,0.8756460930373974,0.02029820029672022
chair,0.0035274661713550195,0.7363945578231292,0.0070212990213963135
car,0.005405621313592608,0.8071570576540755,0.010739320195741303
dog,0.04931062449310625,0.8351648351648352,0.09312298973809159
bottle,0.0015677016571528694,0.5074626865671642,0.0031257469615900853
cat,0.052393617021276595,0.8106995884773662,0.09842618036472645
bird,0.011900191938579654,0.7209302325581395,0.023413897280966767
pottedplant,0.003896305151535277,0.701195219123506,0.007749548676852627
sheep,0.019642658972367107,0.7831858407079646,0.038324131211432286
boat,0.004580349654860977,0.6926829268292682,0.009100522318710547
Mean,0.016249264818215495,0.7470519037942845,0.031132183606622826
