,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.07090543927896804,0.05524566883406904,0.04178822552876289,0.02776565748122713,0.015688657069125974,0.008514956584630997,0.004610626189114897,0.0023765489364011043,0.0010740705594920602,0.0005262945741511095,0.00022665615937562432,0.00010912724707964254,4.163072315062488e-05,1.678235249206344e-05,7.090543927896804e-06,3.0313124188789594e-06,1.5104117242857099e-06,5.139595450694429e-07,4.1955881230158605e-08,1.0488970307539651e-08,4.0639515456562384e-05
chair,0.005232669930428828,0.0040918542472153305,0.0029271822210023024,0.0021327972714776777,0.0012759346146780663,0.0007644975085757746,0.0003324698588061893,0.00012902082131581222,4.934331618535825e-05,2.0103659831064926e-05,8.063801332238264e-06,3.216585572970388e-06,3.5739839699670977e-07,2.233739981229436e-08,2.233739981229436e-08,0.0,0.0,0.0,0.0,0.0,1.168246010182995e-06
car,0.0014618573272247675,0.0013707986770150847,0.001214271492442428,0.0009149783984091888,0.0007389381811835246,0.000566229298642202,0.00038737176126356945,0.0002869372257411216,0.0001880382272997373,0.00011683094842194058,6.637293967766852e-05,3.279933231204068e-05,1.6923440456976356e-05,8.907416372779943e-06,3.747751519884037e-06,2.602605222141693e-06,1.2752765588494294e-06,2.3423446999275233e-07,0.0,0.0,1.3286299659033345e-05
dog,0.011485996064970734,0.00944378522834475,0.008339492702335272,0.007303839931141738,0.00590551274609371,0.004064352263971871,0.0025313581551153954,0.0014109150985609877,0.0007040918794182389,0.0003335797080934109,0.00012160399469122562,5.2370470369951656e-05,2.671962773977125e-05,1.1875390106565e-05,5.81894115221685e-06,4.750156042626001e-07,4.750156042626001e-07,0.0,0.0,0.0,2.1933845526825558e-05
bottle,0.0018327802403732406,0.000821314879932302,0.0006854931081404184,0.0005288912311711592,0.00040671422723670924,0.0002648837503332954,0.00012029928358709679,4.519046969296769e-05,1.5146944135316038e-05,8.011606815373772e-06,4.506528833647748e-06,2.002901703843443e-06,1.251813564902152e-07,1.251813564902152e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.759793250471621e-07
cat,0.008331061886893266,0.006253404267471293,0.004420768775110705,0.002457341307155126,0.0009660032185660834,0.0005759490428271747,0.0002601909005623436,0.0001584982047446995,0.00013017284198270728,5.587680850862941e-05,2.6158395118998256e-05,1.2537455648750642e-05,5.572202510555841e-06,1.3930506276389601e-06,1.3930506276389601e-06,6.191336122839824e-07,1.547834030709956e-07,0.0,0.0,0.0,4.782807154893765e-06
bird,0.004412833745317893,0.0031136954906963053,0.002510668250723885,0.001807496702082209,0.001300435087395722,0.0007890506967954543,0.00037478467172479484,0.00025417922373031064,0.00014755075119038443,5.7637012183743906e-05,2.074932438614781e-05,1.1671494967208142e-05,2.3054804873497567e-06,1.296832774134238e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.602313261483995e-06
pottedplant,0.0025224072342999396,0.000800145299188024,0.0005068808829924967,0.0003412531388457046,0.00017629190473572045,8.531328471142615e-05,4.0323857226885016e-05,1.19971806625443e-05,8.331375460100209e-06,5.332080294464134e-06,3.332550184040084e-07,3.332550184040084e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.665100368080168e-08
sheep,0.0011496661482125947,0.0010096790439943167,0.00083342818470099,0.0006640471672075948,0.0005316056269335038,0.00045423544141624155,0.00032468449031479945,0.00022257536629395833,0.00014430421791768863,0.00010150848211483612,5.7098521189595314e-05,4.598664592850379e-05,1.816941765664966e-05,7.357863348560606e-06,2.4025676240197896e-06,1.351444288511132e-06,9.385029781327305e-07,6.006419060049474e-07,1.5016047650123685e-07,0.0,1.3405576539647921e-05
boat,0.002344672578178289,0.001324631331812887,0.0008477640523602476,0.0005634065210924378,0.0003369421399031041,0.0002119410130900619,9.625487409241469e-05,6.770894369039785e-05,3.6158178509221336e-05,1.9631587223843166e-05,1.2119500275943993e-05,6.410314195540625e-06,3.6058017349916016e-06,4.0064463722128906e-07,1.0016115930532226e-07,1.0016115930532226e-07,1.0016115930532226e-07,0.0,0.0,0.0,2.2836744321613473e-06
mAP,0.01096793844348676,0.008347497729973934,0.006407417519857163,0.004447970914980997,0.0027327034815852113,0.0016291408884994494,0.0009078364041808387,0.0004963571470833905,0.0002497208291590813,0.00012448064676384165,5.436624198994939e-05,2.7645570279685593e-05,1.1540927349040628e-05,4.816106911526599e-06,2.0575353410774057e-06,8.179672305383689e-07,4.4541514279067877e-07,1.3488359210671425e-07,1.9211635773139546e-08,1.0488970307539652e-09,1.0184490836951927e-05
