,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,person,55.14201452939641,46.89429130934466,38.624182180128855,33.16012304702536,27.764290494882292,22.027367409539174,14.78909483417084,10.232560404410572,6.610027839875734,1.3963305789457472
2,chair,27.040757435264393,20.33105289851893,17.568991228518485,12.324336257232115,12.090372501625934,13.416849775259756,28.730584212222098,,,
3,car,26.945882141000276,22.748657990459115,19.00721494422254,15.757088156571786,13.161307181704693,10.777891187931047,8.785706183291927,6.785047435330957,4.6250432265944985,3.866881525212548
4,dog,62.85542227526302,52.62023079382818,44.18154442909115,38.17697678942743,32.34573930122321,28.74564629964084,25.39048244128935,19.98093051624081,12.596438073438826,
5,bottle,62.93035270252663,49.596885496111796,39.810041457735224,35.29374730389781,27.828383747937494,23.482442271588507,18.779739999205997,13.919746839344924,6.5553695468952125,
6,cat,42.790047518663,34.393997294808415,27.759576986665373,23.134207478919045,18.354583430860345,15.933510456939416,11.672788348748403,8.44501298394167,6.6706614335484735,0.9027278483116493
7,bird,42.25064083186334,36.19552174589147,30.23308018453907,24.091890243723633,18.78420639462598,15.479322284034453,12.857334288984395,11.534755655663409,8.344126465264054,
8,pottedplant,46.77906284336105,43.67148637458355,37.57464239191456,31.891969887374962,25.55303027035495,25.495853914090045,21.794423603564706,29.561000306388582,,
9,sheep,36.688971884660994,30.494857324942917,25.84001792524028,20.88483662703276,15.824897196343858,13.550067297509244,10.806936654821934,10.073416371655425,5.035533624453305,4.812170627696568
10,boat,57.695697602814555,44.807549198108504,36.849845727407455,34.44052885214582,32.41767022587309,29.010219014434327,27.457837222025827,17.58036219523175,5.890220659833127,
