,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
person,0.008125064814644978,0.008059672204680597,0.007994543807281729,0.007884928423741175,0.007751434634168916,0.0076142004388985015,0.007458862211032603,0.0072336116186053,0.006988422357809562,0.006592194186042362,0.005963265096516792,0.00521941448470895,0.004446451243973926,0.0036403207276332755,0.0027276617372822757,0.001904770138605169,0.0012548447487551319,0.0006645055459800431,0.00019386323401597328,1.382738482648889e-05,0.002602892434229802
chair,0.014367121470142208,0.01421468624630497,0.014063064010328198,0.013812166923390167,0.013662712655041303,0.013415428847483115,0.012783059790017882,0.01254390586106435,0.011979150293994477,0.011201346741490457,0.010319706572808122,0.009268468103234284,0.00835119196666822,0.007299005011257172,0.006017239317249181,0.004596136537155894,0.0031717818056207453,0.001972895707387964,0.000786972248930379,1.9918202581399052e-05,0.005180331547289336
car,0.009643887472839476,0.009564839548164665,0.009407719599119672,0.009290733550102478,0.009174479426313753,0.008944166954421715,0.008716782183443558,0.0085668188366325,0.008234158820292676,0.007694363964295712,0.007310143881861412,0.006506002030848535,0.005779322266515445,0.004896132490827758,0.003907667469778401,0.002920544311647907,0.00244076732438552,0.0017423480063739301,0.0008786762367787873,0.00012751763980463126,0.003650912165882233
dog,0.016661099791798882,0.016278098800895154,0.016183044412527693,0.016088268367903627,0.015899551309885657,0.015805610296491756,0.015711947626841246,0.01515581682754935,0.014700028947749313,0.014251199661534009,0.013547546678245767,0.01277723036841578,0.011947766013115558,0.010448467439348899,0.009120767783381766,0.006920878007504148,0.004866701181290846,0.0028459256042842667,0.0010533918968569425,5.0241045681775164e-05,0.007357891601812573
bottle,0.005910063800492847,0.005827116565046533,0.005703794836021669,0.005662980692785276,0.005461108224892524,0.0053022481485253785,0.005029885185491854,0.004653251978606648,0.004150585869806547,0.0038091246355487526,0.0031094954800351426,0.00256235148084996,0.002043564884595629,0.0015406056760236325,0.001163312994651662,0.0007474776932754852,0.00046895963503216403,0.00020582931481333573,5.341743342788244e-05,3.5904722057150064e-06,0.0011898605064910607
cat,0.06548483967838806,0.06492633613302669,0.06492633613302669,0.06492633613302669,0.06437022446580393,0.06437022446580393,0.06437022446580393,0.06326517676577414,0.06326517676577414,0.06326517676577414,0.06326517676577414,0.062169696578298725,0.05947285397703558,0.05788345095394079,0.05788345095394079,0.05579773321708805,0.051741107894035014,0.046885595272692045,0.03961428573137056,0.009473033367895973,0.050418638471207165
bird,0.029619907070219234,0.029619907070219234,0.029619907070219234,0.029015435067944677,0.02871553594310485,0.028120411446020108,0.028120411446020108,0.026948857462230236,0.0255194681269547,0.02495861781556593,0.023583755593897637,0.021985332206439653,0.020442993850120543,0.01847378609013332,0.01660428505217076,0.014834490736232876,0.01336771138019809,0.011594022270431114,0.008425218011084585,0.0007010628892359583,0.015001265807994454
pottedplant,0.0017683678218098655,0.001708172501676788,0.0016637100493057653,0.0015909088910279364,0.001533840600512162,0.0014364792304484347,0.001355567339100727,0.0013029290072094646,0.0011758934290065418,0.0010553724958396662,0.0009193467074869982,0.0007825717349551846,0.0005761877802132054,0.0003388918347751817,0.0002032894983498567,9.498352462556996e-05,4.4592745271743925e-05,2.0358265737647884e-05,2.6384312395991656e-06,2.931590266221295e-07,0.000298315368168161
sheep,0.008366854384553498,0.008127243331889349,0.007735627204653754,0.007581688223281144,0.0073536806114239735,0.006981403552200012,0.006762678692988427,0.006405872888173772,0.005990469707283867,0.005138196980011139,0.004527082430843494,0.0037904573302803388,0.0031685129030261773,0.0026022649916455226,0.0018196129092146792,0.0012377003527446005,0.0007433937743672256,0.0003916161272355963,0.00012086917507271491,1.5664645089423852e-05,0.0018417174639519776
boat,0.00761537562311604,0.00761537562311604,0.007535842219086348,0.007144437671696128,0.006990798340027221,0.006688529654896001,0.006104032197459941,0.005614515576857241,0.004822939020215263,0.004388949658068987,0.00369256268735231,0.003314100583662461,0.0029066223561927504,0.002480147961356368,0.0022578301784387236,0.001883960554771587,0.0016535015572682259,0.0011742136421706564,0.0005012065697514215,6.0328487571079074e-05,0.001992447457853558
mAP,0.016756258192800508,0.016594144802502004,0.016483358934157075,0.01629978839448993,0.01609133662111743,0.015867870303518893,0.01564134511382003,0.0151690756822703,0.014682629333888711,0.014235454290417116,0.013623808189482181,0.012837562490169388,0.011913546724145704,0.010960307317694193,0.01017051178944581,0.00909386750736513,0.00797533620462247,0.006749730975710659,0.005163053896852885,0.0010465477293919066,0.008953427282488031
