Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
person,0.007101078530935456,0.8397689267254485,0.014083070741681199
chair,0.012694534445211665,0.8129251700680272,0.024998692537001203
car,0.008672175407019552,0.8429423459244533,0.017167729527280087
dog,0.015805471124620062,0.8571428571428571,0.031038599283724638
bottle,0.005056703814620256,0.6149253731343284,0.010030920556083072
cat,0.06684103458297007,0.9465020576131687,0.12486427795874051
bird,0.029140847429241334,0.8093023255813954,0.0562560620756547
pottedplant,0.0013735477594002175,0.6693227091633466,0.002741469623537475
sheep,0.006687062937062937,0.6769911504424779,0.013243313425084396
boat,0.0056915439917836355,0.6487804878048781,0.0112840962117677
Mean,0.015906400002286523,0.771860340360038,0.030570823194055498
