,epoch,time_elapsed,total_time_elapsed
0,1,157.40463161468506,157.40463161468506
1,2,157.86171913146973,315.2663507461548
2,3,157.22979474067688,472.49614548683167
3,4,156.971116065979,629.4672615528107
4,5,157.07363986968994,786.5409014225006
5,6,157.00406742095947,943.5449688434601
6,7,157.20734429359436,1100.7523131370544
7,8,157.42995977401733,1258.1822729110718
8,9,157.31946659088135,1415.5017395019531
9,10,157.1343846321106,1572.6361241340637
10,11,157.85365319252014,1730.4897773265839
11,12,157.2900755405426,1887.7798528671265
12,13,156.80369901657104,2044.5835518836975
13,14,157.49953842163086,2202.0830903053284
