,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.030356800674510402,0.029342160732763578,0.028344766795692332,0.028016134595485374,0.028016134595485374,0.027689418618020156,0.027364618863296667,0.02640171693557659,0.02422201356685701,0.022136205112482276,0.020986471467443375,0.019048212164181965,0.018511669796497147,0.015453378300693673,0.014260529643965816,0.012671022879699536,0.011175411029778103,0.0075892001686276005,0.003565132410991454,0.00021557505844479362,0.012347660292032348
bicycle,0.018406785792131786,0.018406785792131786,0.018115773998617985,0.017827081024176007,0.017256651532507522,0.01697491501528102,0.016418398438043474,0.015871157137093223,0.01560101471522583,0.014028855384529765,0.013027125545502187,0.011827136675833733,0.009813242311955368,0.007606885965115686,0.006178493416872655,0.004456770256044002,0.0026712795707402137,0.0018550552574584816,0.001043468582320396,2.8985238397788775e-05,0.005850844282024052
bird,0.013451493140857427,0.013308772737738889,0.013166813510103653,0.013166813510103653,0.012745502880097735,0.012058542006420514,0.011390610519825768,0.01061421152686093,0.010236287899403049,0.00962163869663922,0.008909178444271488,0.007566464891732303,0.006531266234445853,0.0058519171156016245,0.00477409263125044,0.0035809500611794797,0.002621868952222918,0.00128029716290868,0.0005210246183180687,3.082760707360377e-05,0.004166788771900446
boat,0.008765349434348962,0.008057339489604015,0.007970934328584155,0.007714513621622251,0.0072964616970113355,0.007051220094440142,0.006730752435239797,0.006187867178265958,0.005887894543781915,0.005240205183145171,0.004371262714775633,0.0036390313771841464,0.00297387466593692,0.0022826333777780368,0.0018864738659322617,0.0013452188950154004,0.0008666134882881414,0.0003726368130236566,0.00016978264793390357,8.384328293032273e-06,0.0017915912174161133
bottle,0.0032108738662102124,0.0029667926546991298,0.002895449549595397,0.0027553681586412106,0.002596329472010373,0.002398797345303282,0.0021884823092976854,0.0020271764651686223,0.0018342268908515614,0.001562891551968194,0.0012503614789681346,0.0009726588041323044,0.0007537092746760195,0.0005731084731152504,0.0003651088320014587,0.0002431647010330761,0.0001254654606996689,4.056764800016208e-05,2.3346898492364382e-05,1.2059348394816312e-06,0.00043486975059579206
bus,0.046771135051782695,0.046771135051782695,0.046771135051782695,0.046075663172810435,0.046075663172810435,0.045385400821021486,0.044020504698993525,0.0426764466856988,0.04135322678113734,0.039407468378169996,0.03688605722144658,0.03385150763716685,0.03385150763716685,0.029267123715851547,0.02763393694388297,0.026571193398487153,0.0235079914146992,0.019264831523890892,0.0087624247223322,0.0011487007439204815,0.024074527495884474
car,0.009623517990351107,0.009265280067941473,0.008913836963870485,0.00883666124940687,0.008759821081527881,0.008418192715057156,0.008231335210744437,0.007576012730972967,0.0069820533328646866,0.00634690559149376,0.0057420409293851855,0.004934590016809626,0.0041618262324196135,0.0034068464170146947,0.0026424712972402927,0.001993314485961297,0.0015141539631176423,0.001007688336950176,0.00033974091693221337,1.8497005477420505e-05,0.002576116960130816
cat,0.0481412611142863,0.04772714466259348,0.04772714466259348,0.04772714466259348,0.04731481705086477,0.046904278279100174,0.045683395003591094,0.045683395003591094,0.04328992713160406,0.039820472021201335,0.038325001811200465,0.03506484097659929,0.03331624991167603,0.02995323077913819,0.026153734695356083,0.021212064294485994,0.019065456337546947,0.014199811635151778,0.0064621843703685814,0.0007522072049107234,0.02245047820164341
chair,0.00543236950432467,0.00539121533807952,0.005309376444747911,0.005147576414719453,0.005087546882301979,0.0048120643360107795,0.0046199854802468215,0.004339202183455414,0.003960892901446178,0.0036334786482249055,0.0031452619231873923,0.0025916171154074705,0.0021300801825555,0.001644993051909252,0.0010347221456123595,0.000676696547251516,0.00043425078175311896,0.00019559964945413223,5.2890145212397354e-05,4.889991236353306e-07,0.0011906600541466777
