,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,19.335251571638604,18.079888557805766,17.539869210249485,15.965037387485774,14.920535976813401,13.44837686653116,12.52356255451505,10.73403876902294,7.87498380119473,4.735603867526774
2,bicycle,26.742883929418603,26.04197868775567,24.24150795222815,20.643641537663395,19.017061019185263,15.824190067250633,12.369663516523735,10.659315584253262,9.877552939772954,6.4270092613555505
3,bird,23.493331838366217,22.104946483232606,20.338258691097856,18.394866978348766,16.46722039392815,14.954185886524659,14.303634160767338,12.092656896809503,10.190609311319019,4.093622304640146
4,boat,27.241376481966725,23.419960704422735,21.64189431461752,21.346450064629842,20.32667314831426,18.16697541841103,15.82345305704216,13.572104236858996,12.356175706813607,7.192301325142039
5,bottle,18.501788164879446,16.63124626821606,14.581576985666969,14.487869973794485,12.30211595677022,11.25379121798561,11.276605226652718,7.328392028843197,6.347101336743727,3.1127522736723434
6,bus,15.661376931610382,14.435047655418847,14.154309639943886,13.839919254180957,13.816865935526526,13.261534915533433,11.863382031049628,11.112422348587756,9.068381136206623,7.178127750783463
7,car,16.295263945061976,15.047949778181103,14.489471548368243,13.11347146770252,12.40670038818376,12.259178770587866,11.030777154541834,10.601740246112094,9.098376270776713,5.703029023212239
8,cat,32.12494380452613,29.47488787610691,25.962910660888507,23.818384007403985,21.14742257093886,18.25826329015662,16.778839800010648,15.289926802286363,11.062195424486275,6.8582348570642155
9,chair,28.335889231003847,24.37108691893132,20.914328359493638,18.283570084006833,15.14398236770256,13.3764319111395,11.071810749662529,8.765799345146354,7.067882042557533,2.963587890004233
10,cow,18.51543285928111,17.204242993753233,16.21382430751785,15.912595625295241,13.955167964841419,11.593267148547126,10.56741609838781,9.432666814434164,7.626434764875112,5.363581715291763
11,diningtable,35.120051437779644,33.558998273451515,29.98184339623068,27.692384648592554,25.055572459512852,21.791044839764524,18.318766405597454,13.251452548999024,10.552180035225959,6.886000882403437
12,dog,26.957793769908896,26.06906674599315,24.390066456436674,22.9982177551346,20.207479235074942,17.977058583156335,15.288354077149371,12.97020531427732,9.456109915009536,6.567529191172911
13,horse,26.176557400212854,24.085098341509827,21.60586523361063,18.49932172118959,16.63914839876512,15.257945762398194,12.573092599228628,12.07868823619086,11.406536702690067,5.91892009549417
14,motorbike,34.673813341691044,31.612237471304805,27.25825603449051,24.081498866493646,22.559516170438222,20.773370253860804,18.153768045770256,15.631107385214863,11.548888595371814,5.460481009407978
15,person,22.86566941836956,21.232809054475002,20.00721712954749,18.445449108782622,16.910056409676084,14.926353952188908,13.260820640401453,11.560751206306891,8.838417489316901,5.494269404241919
16,pottedplant,26.541991177156795,24.18694428131438,22.547050433700495,21.7543004554143,17.590269538974137,15.21702953975115,12.807632431307658,9.268755794376583,8.825635728599623,
17,sheep,16.869215640757417,15.324672993053015,13.590517060543585,12.670245494419424,12.359119258465617,11.496289003173548,9.480666809657667,9.326505112083327,7.138876565477074,4.637884716627646
18,sofa,33.84671781793154,31.08108967366377,26.05032197277883,22.311419608431276,20.31036105366834,17.843288921089755,14.88568112557293,12.733087396401382,9.761301742035636,5.376943192278166
19,train,30.34483545640675,28.380957487145185,25.915789669516208,24.362712570750208,22.480214393573455,19.385812608924123,17.06698835122305,13.092112619777103,11.918611102137177,8.67756679339081
20,tvmonitor,17.367694130629758,15.627262032281038,15.46228047759372,15.041016011798629,13.481895242947957,12.351504570009043,11.894889421121823,9.555693864242832,8.151488192704328,3.6822912480663197
