Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.0275092936802974,0.7628865979381443,0.053103695730175815
bicycle,0.017451432334540665,0.7464788732394366,0.0341055341055341
bird,0.012519433761557975,0.7116279069767442,0.024605982631071083
boat,0.006540940558605873,0.6682926829268293,0.012955082742316786
bottle,0.0026016838226976713,0.48059701492537316,0.005175351184544666
bus,0.045875096376252894,0.8040540540540541,0.08679795769511306
car,0.007806071858056077,0.73558648111332,0.015448206755459062
cat,0.0449902195174962,0.8518518518518519,0.08546655656482247
chair,0.0046120050145490935,0.6819727891156463,0.009162049465927916
cow,0.025991425509110398,0.7293233082706767,0.05019404915912031
diningtable,0.009754586978400558,0.6923076923076923,0.019238109779372473
dog,0.06342182890855458,0.7087912087912088,0.11642599277978341
horse,0.03088992400098063,0.65625,0.059002575509248416
motorbike,0.049019607843137254,0.75,0.09202453987730061
person,0.007769061285207067,0.8415931894192764,0.015395996373486402
pottedplant,0.004135008011578022,0.6374501992031872,0.008216715881371165
sheep,0.015161029873508567,0.7477876106194691,0.029719511122834785
sofa,0.046314741035856574,0.5670731707317073,0.0856353591160221
train,0.0279027902790279,0.8671328671328671,0.05406583823850011
tvmonitor,0.007453416149068323,0.8354430379746836,0.014775016789791807
Mean,0.022885979839924186,0.7238250268296083,0.04357570607508982
