,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,18.883526313425005,17.14966309652752,16.401844989860994,15.337110520170528,14.633433500377096,13.065393048719361,11.00891284154099,9.803784233574,8.668968872167993,6.0020074016320075
2,bicycle,26.509388059981838,25.32792262341201,23.936906264955358,20.43264613909918,17.757808809692268,16.884711007434454,14.23585997469515,11.308903152693977,9.012111052614502,6.368581383436224
3,bird,23.252534122912728,22.460055566777143,19.58591953590129,18.159985279658148,16.612135456192334,14.197807231815668,12.579523337859921,11.407425308198595,9.74585705953243,7.718116480207337
4,boat,23.01000090872922,21.002909444956963,21.384840514536407,21.292161937950723,20.053842600755868,17.814006981920002,16.380698294599448,14.607857768581699,11.215386021523393,5.430656765361274
5,bottle,16.487047255442572,15.24510073978503,13.173894000534832,12.00829410006707,11.39084134861368,11.059581622369217,9.427543464608402,7.590422252494086,6.437092965735907,4.588581923571362
6,bus,15.776888252822136,15.174344857072946,14.711429692192928,14.19243034496112,14.100887240608035,12.968549359718125,11.587214108002726,10.91435188167986,10.237389669692037,7.150443061608018
7,car,15.05029015449365,14.214957431611575,13.53047345172065,12.303438673137965,12.112608202175368,11.457239962670092,10.885392789328584,9.494012534341003,8.319701730628015,6.565960171774112
8,cat,27.9071459425141,23.901311373445623,22.12835117665682,18.878963891493722,17.39753094482384,15.686672715032984,13.94164760065068,12.722771462668783,10.54137469066035,6.482376486339731
9,chair,27.1000376662556,23.11710674992854,20.104512714851563,18.322410401531716,15.949367647097882,12.826971846309473,10.00519241660874,8.484264083428453,6.5571470843897695,3.967458948177601
10,cow,17.1714164612394,15.857345719817946,15.965594382484792,15.738435259909684,14.34852862241552,12.185404014678538,11.595253217635179,10.745678604659966,8.40806654028635,5.037800081200708
11,diningtable,28.538535042846327,28.441199780688667,27.865367075332124,26.018127231461005,23.52771061677109,20.31043308349226,16.967706591406454,14.879989524440807,10.223125570327536,5.485485479249247
12,dog,24.42169196172715,22.367673712471333,20.48428520252951,19.011794457194664,17.59734970205521,15.975597752925854,14.70612740849255,11.661455732791884,9.77271704391954,4.977976670748758
13,horse,22.45059043429333,21.364802189277455,18.13409151805832,17.234077998881308,16.61972573500325,14.348494502372633,13.263666180200245,12.10266331465402,10.825781595060064,5.7501157268562695
14,motorbike,30.200497562720752,29.37772979686014,26.43673190526898,25.67314980660848,24.767237072995673,21.511997361287364,18.237798777466388,16.44256417889071,12.280270380472562,9.829314873478335
15,person,21.68004154073567,20.003433481160673,18.949463757710454,17.412233365057258,15.771242156967208,14.404984447716346,12.888972140685999,11.253223015229409,8.907820207388173,5.416250306784833
16,pottedplant,24.15617755569835,23.239008342654927,21.094035351720176,17.647749763100396,15.83378534739867,13.86567077670155,12.106808969185241,12.280986074239218,10.991128777625967,5.198315970584495
17,sheep,13.935568719060536,13.22850952525913,12.706410074388293,12.171727507947622,11.700774845665332,11.151080175832247,10.551626892392271,9.59961639688936,8.400962957137866,4.736747810463721
18,sofa,38.64735823922118,33.08922931302014,30.264945563955223,26.743722473488514,22.697436341663938,17.697449380650642,15.04580993975581,13.058661711106007,8.745382583751372,5.582414410813078
19,train,25.495195536121287,25.494228547018462,22.771431692978688,20.139837811337525,18.751405211981346,18.080395446089295,15.051871358586626,13.11976130970914,9.78485029449922,5.160957618579549
20,tvmonitor,16.02101483922131,15.328508215785474,14.591177663584642,13.76312343220741,12.439078136951329,11.545715798237124,10.745844478785749,9.423708821673465,6.511099486409183,5.607214957069871
