,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.029453487399254456,0.029123478939882687,0.028469039628903164,0.028144608777295417,0.02718247143800024,0.02686547739674454,0.026237066921997156,0.02592565048850548,0.025002556403558515,0.02379779312652803,0.022333671088470154,0.021761036691363075,0.01900941686110827,0.016941983583241147,0.014993539271006665,0.013164083924404824,0.010445000139440193,0.007363371849813614,0.0034590464149926096,0.0002379779312652803,0.012970912775510584
bicycle,0.026146840884665422,0.025743034736756102,0.025743034736756102,0.0249448498218225,0.0249448498218225,0.0249448498218225,0.024159234748068956,0.022625714124102043,0.02225019011884785,0.020063037753517986,0.018326828440522653,0.01602811873471979,0.01244571399840363,0.01108659992081,0.008373085456065263,0.0064357586841890255,0.005469452143472167,0.004086769613665931,0.0014141071327563777,1.4141071327563775e-05,0.008368057519593238
bird,0.010136431975944467,0.00992957145751362,0.009623279272362794,0.009123455210432594,0.008829958521267181,0.008636959790153866,0.00816379301152661,0.00816379301152661,0.007794856210613864,0.0072574453792265126,0.006824264525553671,0.006240203448386167,0.005451147862619025,0.004232110297175394,0.0034038685049529232,0.0024058198180906985,0.0018364202467398142,0.0012691532580531653,0.0005398099868846166,2.1592399475384662e-05,0.0032224390347930865
boat,0.007965637470436684,0.007647044481107922,0.00741236660950415,0.007257946538145821,0.0069539828187352186,0.006510228297884444,0.00622251932282735,0.005598946692565893,0.0052667403548410695,0.0045716468494241755,0.004097008314301737,0.003124161864744272,0.002640583220227404,0.0019513820596386568,0.0014680065994262075,0.0010242520785754342,0.0005924854316853732,0.00032509488707016364,0.0001170341593452589,9.95603091652376e-06,0.0015349964645931032
bottle,0.0027888205516598983,0.0025762351845322815,0.0024269205155325736,0.002299926439543316,0.0022113056763426956,0.0020392873776350095,0.0018101617894778078,0.0016096246675633206,0.0014776859360241662,0.001270323796590103,0.0010421732109356977,0.0008045163508790257,0.0006067301288831434,0.00045254044736945195,0.0003076829326682423,0.00019068263233264996,0.00012121370400839198,5.028227192993911e-05,1.2570567982484777e-05,3.133936616131939e-07,0.00035887056406506404
bus,0.04199360650973555,0.04199360650973555,0.04199360650973555,0.040767582098227256,0.04016138113920372,0.038962601714617844,0.038962601714617844,0.038962601714617844,0.037198488811392046,0.03547524338854984,0.03490990990990991,0.03215135498401627,0.03107971883173496,0.027472028480092996,0.02503133173496077,0.024556814879395525,0.020061392037198488,0.01602005231037489,0.008448216361522813,0.00109888113920372,0.022082970066841037
car,0.01080134276911576,0.010579782650671787,0.010404187646955774,0.010273455697274949,0.010100432168508753,0.009464680906362264,0.009093148695309377,0.008689059774623998,0.008100146091920587,0.0075318960472067695,0.007092173830788223,0.00605072647611272,0.004672783256575571,0.0037560065177706142,0.0030565653314206455,0.002408048532916142,0.0018736868545052585,0.001103208672666622,0.0004320537107646303,5.000600393481587e-05,0.003049525918745524
cat,0.06359401159541524,0.0630469688752778,0.06250228919064851,0.0619599725415274,0.060347200807212925,0.05981433630012441,0.05718545929730413,0.05410878706568884,0.05111718411236706,0.04868916512773979,0.04538918604060404,0.04310294918646595,0.039567848066268965,0.03618398121859378,0.03295134864344039,0.02875341606320647,0.024160856553110996,0.020899867551859765,0.009570293808019905,0.0017061116368865118,0.028228585876845673
chair,0.005395791279433987,0.005315706434405647,0.005236220354573781,0.005059565910201686,0.004924263687211049,0.004752998129607218,0.004566258233957022,0.004275258348470866,0.004063295468919221,0.0036060821071744794,0.003253708789049782,0.0028023895222078266,0.0022400554456571934,0.001639419107944641,0.0012455064543145898,0.0008330507910062474,0.000473043216626512,0.00023054331205471518,6.29451912792843e-05,9.168592071001576e-07,0.001278157868934789
cow,0.025091115373596748,0.024656645398507624,0.024225969921017533,0.023376002458834446,0.022541212987047483,0.022541212987047483,0.02172160150565665,0.021317487511359777,0.02012791251406336,0.02012791251406336,0.017122670415630297,0.016764090392521806,0.014360276163535258,0.011840729757778246,0.00956403119835926,0.008015876177954347,0.005949772235281618,0.003035598079225315,0.0013830943748470341,9.296519117627528e-05,0.008812910398630944
diningtable,0.012101877820045832,0.01195651123714428,0.011525681576037262,0.01138382838486747,0.011102757046326706,0.0108251990995177,0.01041544978880124,0.010146675321321633,0.00936143226927337,0.008485280206165825,0.007768548292886875,0.006972325891676862,0.006115058309127528,0.005508998235399003,0.004750105621338936,0.004132187850515722,0.002740884724738933,0.0015810262792918055,0.00056916946054505,4.39173966469946e-05,0.004018222206216771
dog,0.07983804418164224,0.07935196893867882,0.07838427105039748,0.07838427105039748,0.07790264840507953,0.07742250995897672,0.07694385571208909,0.07457284746587826,0.07131577228821961,0.06768245260951906,0.06370850921094033,0.0607007795014278,0.05571387013850547,0.05133028775654384,0.04638122547360797,0.03959917715995512,0.029683984303109104,0.019235963928022272,0.008655849822786613,0.0006241057699728688,0.03756337530648714
horse,0.03067966126441816,0.030306659731347642,0.02993593955321945,0.02993593955321945,0.02956750073003358,0.02956750073003358,0.02956750073003358,0.028475872390129945,0.026008587020002923,0.024985399328369105,0.02332571360782596,0.020177443787414224,0.0178230854869324,0.015614733902759527,0.013552389034895605,0.011179779894875164,0.00843645057672653,0.005589319608702,0.002628120893561104,0.0001927744926266608,0.011851981128631917
motorbike,0.056828034682080926,0.056828034682080926,0.056828034682080926,0.056828034682080926,0.05524955535793686,0.054468652734548685,0.05369330813694976,0.051400622498888396,0.04769064028457092,0.04482269897732325,0.040017785682525564,0.038041907514450864,0.03362605602489995,0.03241440640284571,0.027790128946198308,0.022012561138283683,0.01690751445086705,0.00902901289461983,0.004446420631391729,0.00046965317919075143,0.022475544686527342
person,0.011042425034510068,0.010967642010956315,0.010926958366215553,0.010859320284399718,0.010744817474520399,0.01057086937935441,0.0103587281319976,0.010116120349092046,0.009773609376419704,0.009324017723646928,0.008775396443418305,0.007963398226350582,0.006994337285612715,0.00578357992264946,0.004603879169776711,0.00350467424398395,0.0024771539254233262,0.001442200977536805,0.0004545925870119667,2.721587579553309e-05,0.004202642865755934
pottedplant,0.007656333803921945,0.007521423074351701,0.007521423074351701,0.0073213054921558406,0.007123886124551384,0.006737142033116688,0.006423099834839287,0.006299581566877198,0.005699978324342782,0.005075041844811288,0.004590712325654115,0.004081049569499862,0.003022599945615986,0.0023422001661500586,0.001684285508279172,0.0008431920598140211,0.000504266326971443,0.00016324198277999446,3.3727682392560845e-05,1.3491072957024336e-06,0.0017266624674452911
sheep,0.019120355457636955,0.019120355457636955,0.018245399205449566,0.018072866848460854,0.017390933732001925,0.017054884960669998,0.016722114713936434,0.01639262299180123,0.015107441349244011,0.014639022147253291,0.013130900832007582,0.01212398396473619,0.008616372460065521,0.006609915405869051,0.005140726570228865,0.003855954743246444,0.002493317957052967,0.0014753360692621109,0.0004462891609517885,1.639262299180123e-06,0.00538944364257197
sofa,0.05203793007511824,0.05203793007511824,0.05203793007511824,0.050496151349346194,0.049733956227394974,0.04822695446536214,0.04600992302698692,0.044560882871186126,0.041039715292590186,0.037663451729574325,0.03570724751924326,0.032562830381155525,0.030745734025781325,0.0267087081517203,0.022955694148196235,0.019014304924418066,0.014200593526847816,0.009088379857182603,0.0037559120838356673,0.00018547713994250208,0.01949248817583233
train,0.02473070105382083,0.02473070105382083,0.02473070105382083,0.02473070105382083,0.02473070105382083,0.024373583705060025,0.024373583705060025,0.024373583705060025,0.023667140658784114,0.023317814961269,0.021276402334898154,0.020616709196096383,0.019328489523475594,0.017474076527001316,0.016289745537656403,0.01486776918531793,0.009829168046438243,0.006363181850647032,0.002629682295420457,0.00015713163345475322,0.012883235613040629
tvmonitor,0.005078302656236706,0.005011263092203232,0.004812817073751983,0.004747559292151293,0.004490982621830487,0.004490982621830487,0.004490982621830487,0.00436536696031926,0.00430322729797594,0.004241533081240816,0.003880722138602183,0.0035922961072953744,0.003369573303197453,0.0032072083790100686,0.00274416766929049,0.002052613362566444,0.0014975881347544235,0.0008018020947525171,0.0001623649241873847,2.2272280409792143e-05,0.0021330608394066132
mAP,0.026124037591934508,0.0259222282010865,0.025649303504821648,0.025298367174210273,0.024811739891942422,0.0244135456205235,0.02385601958216337,0.02309905497597894,0.021818330009198566,0.020631362934959693,0.019128676647688424,0.017783113589576027,0.015871472516911365,0.014127544812018163,0.012314365690304186,0.010442500907252395,0.007987712226749932,0.005457670367475555,0.0024610650625239675,0.0002479198897344764,0.010582204171023448
