Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.027953110910730387,0.7989690721649485,0.054016379160132424
bicycle,0.024096385542168676,0.7605633802816901,0.04671280276816609
bird,0.009170105456212746,0.7441860465116279,0.018116967672535806
boat,0.005914695101632789,0.6926829268292682,0.011729236360632719
bottle,0.0020180810731991834,0.5164179104477612,0.00402045084824541
bus,0.041666666666666664,0.8378378378378378,0.0793854033290653
car,0.009077260653655156,0.7813121272365805,0.017946024932645327
cat,0.05627332759115705,0.8065843621399177,0.10520665593129362
chair,0.004587963472329189,0.7091836734693877,0.009116946150987123
cow,0.023971738581882413,0.7142857142857143,0.04638671875000001
diningtable,0.010630645032371513,0.7307692307692307,0.020956432679429607
dog,0.0791464073473798,0.804945054945055,0.1441219872110182
horse,0.03131844064826982,0.7447916666666666,0.06010928961748634
motorbike,0.053357047576700754,0.75,0.09962640099626399
person,0.009983493221170116,0.8789905746427485,0.019742750122069063
pottedplant,0.006584393107081045,0.6972111553784861,0.013045585001304559
sheep,0.016578679262758175,0.7920353982300885,0.03247754694729203
sofa,0.05275665399239544,0.676829268292683,0.09788359788359788
train,0.023769730733519033,0.8951048951048951,0.04630969609261938
tvmonitor,0.0046451068022662495,0.8354430379746836,0.009238845144356956
Mean,0.024674996638677307,0.7584071666604636,0.04680748587995709
