,AP@0.00,AP@0.05,AP@0.10,AP@0.15,AP@0.20,AP@0.25,AP@0.30,AP@0.35,AP@0.40,AP@0.45,AP@0.50,AP@0.55,AP@0.60,AP@0.65,AP@0.70,AP@0.75,AP@0.80,AP@0.85,AP@0.90,AP@0.95,AP@0.5:0.95
Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
aeroplane,0.02002053560719598,0.02002053560719598,0.01939000727489578,0.018975259749649427,0.017958007373538438,0.017361107218960913,0.016388692413146822,0.016007573065623146,0.015074391133818851,0.014527933245825344,0.013465282829788738,0.01312003353850258,0.01227652674729209,0.011621898220957305,0.011142696688409151,0.010673583609177802,0.010519454461282197,0.009471936725220797,0.007672268747428845,0.0024414057026663784,0.01024050872707259
bicycle,0.04074582355902102,0.04074582355902102,0.04074582355902102,0.04074582355902102,0.04074582355902102,0.03951117358228942,0.03829551822058447,0.03829551822058447,0.03650765008120198,0.03306012745386683,0.030317779909395687,0.027183668430000092,0.02617695383358818,0.0251892338522029,0.023270777734512266,0.020096302698185065,0.019232047714472948,0.018386787345787466,0.012652787934620534,0.0027447218713494725,0.020525106132411465
bird,0.025172394361184354,0.024685982744251298,0.023965263092332195,0.023727395947953957,0.02278779106841498,0.021639978289432708,0.021413974843028448,0.020965527059612115,0.020301753157968103,0.019219190717842706,0.01795926599300635,0.016543333639812197,0.015375945759172862,0.0149963074240056,0.0133466602207241,0.011793108971031816,0.010810794778786522,0.00971874138028194,0.0084000913504744,0.0025839134187321863,0.012152816293602797
boat,0.01663859379213694,0.01579198663112243,0.015294632554808419,0.01496748409572187,0.014483392794776236,0.013850316317192536,0.013231386800001767,0.011745955958743927,0.010897138335168017,0.009423643991741712,0.009040349783595716,0.007820174449705347,0.007243243721181095,0.006472676472278589,0.005252501138388219,0.004420925122791195,0.0040743245931643655,0.003269716220816368,0.0022285883543990415,0.00042485090430023387,0.005024735076062018
bottle,0.01506059419910915,0.014868128518803307,0.01458175072600097,0.014298157806386335,0.014017349759959401,0.013282143238405259,0.012566740259519238,0.01204318410023068,0.011195344929751574,0.009903163770656411,0.008690196782233747,0.007151709061203777,0.0055852178931196615,0.004060345107674028,0.0032528865984166448,0.0020461082170777707,0.0012254989177673363,0.0007581043677641645,0.0003132982336168231,3.032417471056658e-05,0.003311368935358451
bus,0.05062401851392677,0.04990340110752954,0.04777254318538722,0.04777254318538722,0.04637779981816679,0.04568817670881891,0.04432442763864782,0.04365030167782461,0.0429813414331763,0.04100545499628069,0.03844325977353501,0.03781562525828581,0.03596371600958757,0.03475493842466319,0.03298051491858831,0.030686936936936936,0.03012645673196132,0.02687205554178031,0.02045881891065377,0.006718013885445078,0.02948203363914373
car,0.018481892346644796,0.017962868160389257,0.01752387371713868,0.0172342278989115,0.016875564913059866,0.016662177407912808,0.01623947554193751,0.015547041007738143,0.014669429264229473,0.013560251723336046,0.012068575759466045,0.010720591275732185,0.009187278725492022,0.007723888486058268,0.006698361260897641,0.0054580888158170145,0.004308556974727875,0.0029571027754631673,0.0018121720788823231,0.00035911555744261146,0.006129373170997916
cat,0.06372818303601546,0.06317522961420959,0.06317522961420959,0.06262468557550525,0.06207655091990247,0.06207655091990247,0.06207655091990247,0.06207655091990247,0.06207655091990247,0.05883834003141836,0.05830707105752643,0.057778211466736056,0.05620608899297424,0.05517005425930745,0.053634072532068894,0.052622131629417604,0.05013444357706652,0.047228727556596406,0.04212685883906285,0.019737666367903164,0.049294532627865956
chair,0.032261905758377646,0.03158510137517244,0.03136109427071936,0.031137884344573947,0.03080456416468269,0.03036292738223783,0.029489219957040062,0.02905714931428715,0.02799092332778896,0.026224077256144153,0.02402306794868882,0.02210585411876123,0.020993790379572465,0.01842478363584257,0.015468846471031137,0.012628898749984553,0.009762345202919744,0.00673615669974558,0.0031572246874961383,0.0002799092332778896,0.013358087712732013
cow,0.030021641641194974,0.0295062582271703,0.0295062582271703,0.02899533700720644,0.02899533700720644,0.028488877981303406,0.027986881149461185,0.026996274067959215,0.02650766381829946,0.025068606233685103,0.023669708395618126,0.023212333504384102,0.021427455880056224,0.01847571450882399,0.01574262064657192,0.013228174293300015,0.011889516075054105,0.009138573436558755,0.00650587894067513,0.002144084246223868,0.014543405992726622
