,Class,Mean Euclidean Distance@0.50,Mean Euclidean Distance@0.55,Mean Euclidean Distance@0.60,Mean Euclidean Distance@0.65,Mean Euclidean Distance@0.70,Mean Euclidean Distance@0.75,Mean Euclidean Distance@0.80,Mean Euclidean Distance@0.85,Mean Euclidean Distance@0.90,Mean Euclidean Distance@0.95
0,Background,,,,,,,,,,
1,aeroplane,8.970760187116289,8.573430208643654,7.106111144162483,6.821462427283011,6.3085696398499875,6.105558694943356,5.983911695897462,5.774056656274566,5.344173418534201,4.2294036404024915
2,bicycle,16.601384973049417,12.26665799058014,10.932948178883793,9.676888479655837,9.174395814539428,7.804203236722295,6.905689304991354,6.658696433132246,5.855186228491578,4.549207854014658
3,bird,9.218212075209124,8.350919959688035,7.430451729079515,6.8802939605797855,6.6557209073694725,5.902894408618433,5.580087186617411,5.024207760080318,4.743581205718026,4.254146124247768
4,boat,10.948628329360236,10.555340727028748,9.161192411102377,8.31987218356551,7.762902788681823,6.80560141240907,6.605184842497655,6.561391422604246,5.6305990358371805,4.2824801727919235
5,bottle,10.755735345295479,9.96485827709741,9.368338490559287,8.35556353062919,8.030956011941507,7.274091698695067,5.7980445483105,5.3377392877017815,5.380711220429494,4.092994262463819
6,bus,10.416074688293683,9.077884171881308,8.333501196146072,8.240003169442272,7.708121660008554,7.064484023039674,6.954286291453765,6.623939128087475,6.016755071132715,4.728390100848239
7,car,11.19452803208187,10.045959639270597,9.241765047340289,7.984533901014803,7.4396012461187215,6.888010895366571,6.1663658761717635,5.81506026996107,5.521202919935036,4.841858967573885
8,cat,12.330336356210253,11.996528545625631,10.773881753712198,9.420032839088556,8.806524446814251,8.011163938433647,7.262552962825685,6.665569845136144,5.836397113778702,4.798276088254505
9,chair,14.959104122015273,13.048113920353225,12.44593965634382,11.156404354192668,9.809300185009821,8.339568182082333,6.674894032827777,6.000253499661046,4.7061878014607865,3.0874984788712467
10,cow,11.720834172992094,11.057260626872218,10.82113340698698,9.171302884760456,7.423137293115833,6.112096985467547,5.774105688202241,5.366363637618486,5.207242224124278,4.6656626574216435
11,diningtable,25.211645678818925,23.381802468223967,21.66833688208378,20.206295975968963,16.74121297817909,14.655941256541348,13.064581526313978,9.94813195694425,7.740926493973077,5.219599282749642
12,dog,12.210760287182008,11.034010366967237,9.133081151971636,8.342176675517447,8.173839128490748,7.604026317417348,7.29932170632474,6.609450817322241,5.415583043273008,4.435335091154694
13,horse,15.316788897833536,13.68597316583645,12.29175228429,11.516910441923136,10.73394530568282,8.430899772306011,7.131021734254346,6.726188791649003,6.08791452732604,4.362583174646628
14,motorbike,20.65095640758297,20.8437598852138,18.427577260389953,15.781217916165147,14.895658767313755,12.336409698272819,10.372363123256898,8.635953409329232,7.915852493111445,5.44863171747857
15,person,13.477730483258817,12.419361121498593,11.098476991181824,10.12754347806996,9.11239882006901,8.166869843911812,7.095841005008504,6.172540949365321,5.2229138046142545,4.205203601582718
16,pottedplant,13.006864201793338,12.041603360633221,10.465969270161203,8.948429735449148,7.731022796398401,6.973408649314341,6.015262581095252,5.267789499898607,4.489720419342994,3.562296175503852
17,sheep,12.114840207593248,11.115485878437855,9.980125332335765,8.207160740290108,8.15830089697017,7.692907999158154,6.494738329827612,5.9261261825635385,5.330660777380259,4.739425536578374
18,sofa,23.351012297830767,20.104998095241626,16.312078632731914,14.13795827400916,12.17087838661642,11.42706096640646,9.41019875361843,7.410648266425109,5.686034083889544,4.173904021685125
19,train,9.524392564106142,9.543947043283525,8.317861688889865,8.317861688889865,8.317861688889865,7.330898278659477,6.878474900874746,6.516995695869323,6.046910431699372,5.106864852052621
20,tvmonitor,6.53750644949246,6.375616037263372,6.210949724020606,6.168378120586389,5.779808261851997,5.606567990823417,5.281134639552947,5.217270890264053,4.567352917594874,3.19629058725845
