Class,Precision,Recall,F1 Score
Background,0.0,0.0,0.0
aeroplane,0.016853321735348484,0.7989690721649485,0.03301032903844106
bicycle,0.03809844908968307,0.795774647887324,0.07271557271557272
bird,0.02219104706032394,0.8093023255813954,0.04319761668321748
boat,0.01295994199746239,0.697560975609756,0.025447103834860756
bottle,0.012283611485435888,0.7074626865671642,0.0241479443680269
bus,0.046636085626911315,0.8243243243243243,0.08827785817655572
car,0.01517623401752855,0.7952286282306164,0.029784065524944156
cat,0.06440281030444965,0.9053497942386831,0.12025143481825636
chair,0.028768969356067264,0.8350340136054422,0.055621636930048145
cow,0.03056379821958457,0.7744360902255639,0.05880673708250072
diningtable,0.03756906077348066,0.7472527472527473,0.07154129405576012
dog,0.14134808853118713,0.771978021978022,0.23894557823129253
horse,0.04632050803137841,0.6458333333333334,0.08644126873475079
motorbike,0.06110520722635494,0.71875,0.11263467189030363
person,0.01630652535442406,0.9033140772271208,0.032034762731419086
pottedplant,0.014274171828709938,0.6334661354581673,0.027919227392449515
sheep,0.021734156943491192,0.8407079646017699,0.0423728813559322
sofa,0.056672760511883,0.7560975609756098,0.1054421768707483
train,0.0407673860911271,0.951048951048951,0.07818338603046852
tvmonitor,0.012741859367626238,0.8544303797468354,0.025109271831116893
Mean,0.03683869967762289,0.7883160865028886,0.0685942409148333
