,epoch,time_elapsed,total_time_elapsed
0,1,206.5836682319641,206.5836682319641
1,2,205.79716873168945,412.38083696365356
2,3,208.19127655029297,620.5721135139465
3,4,206.67650699615479,827.2486205101013
4,5,206.08215355873108,1033.3307740688324
5,6,207.79407238960266,1241.124846458435
6,7,205.85264539718628,1446.9774918556213
7,8,207.41129159927368,1654.388783454895
8,9,207.89896512031555,1862.2877485752106
9,10,209.45558643341064,2071.743335008621
10,11,209.14057779312134,2280.8839128017426
11,12,208.9247260093689,2489.8086388111115
