,epoch,time_elapsed,total_time_elapsed
0,1,137.2014036178589,137.2014036178589
1,2,136.40312385559082,273.6045274734497
2,3,138.41695642471313,412.02148389816284
3,4,136.6605532169342,548.682037115097
4,5,136.92380499839783,685.6058421134949
5,6,136.7978274822235,822.4036695957184
6,7,138.1311058998108,960.5347754955292
7,8,139.20350575447083,1099.73828125
8,9,137.29694390296936,1237.0352251529694
9,10,136.29661107063293,1373.3318362236023
10,11,136.76612901687622,1510.0979652404785
11,12,137.57146453857422,1647.6694297790527
